name,count,mean,std,min,25%,50%,75%,max
CyclomaticComplexity,5165,1.9235237173281703,2.6746794427889653,1.0,1.0,1.0,2.0,81.0
DepthOfNesting,5165,1.3223620522749273,3.3915152247264304,0.0,0.0,0.0,0.0,33.0
LinesOfCode,5165,7.024588576960309,11.668957850392562,1.0,1.0,2.0,7.0,123.0
SourceLinesOfCode,5165,6.536302032913843,10.243401489925919,1.0,1.0,2.0,7.0,115.0
CommentLinesOfCode,5165,0.2760890609874153,1.6066704123466444,0.0,0.0,0.0,0.0,49.0
CommentDensity,5165,0.012715389973350422,0.05286200894495769,0.0,0.0,0.0,0.0,0.9411764705882352
OutDegree,5165,6.569022265246854,11.14094133764876,0.0,1.0,3.0,7.0,109.0
OutDegreeDistinct,5165,2.6025169409486932,3.181233924058903,0.0,1.0,2.0,3.0,32.0
PatternSize,5165,3.086350435624395,10.958706095719199,0.0,0.0,0.0,0.0,155.0
NumberOfPatternVariables,5165,0.5711519845111326,1.9364967553597936,0.0,0.0,0.0,0.0,28.0
