name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CyclomaticComplexity,7870,668,7202,8.487928843710293,100.0
DepthOfNesting,1125,309,816,27.46666666666667,46.25748502994012
LinesOfCode,7870,668,7202,8.487928843710293,100.0
SourceLinesOfCode,7870,668,7202,8.487928843710293,100.0
CommentLinesOfCode,616,89,527,14.44805194805195,13.323353293413174
CommentDensity,616,89,527,14.44805194805195,13.323353293413174
OutDegree,7092,652,6440,9.193457416807671,97.60479041916167
OutDegreeDistinct,7092,652,6440,9.193457416807671,97.60479041916167
PatternSize,1125,309,816,27.46666666666667,46.25748502994012
NumberOfPatternVariables,1089,308,781,28.28282828282828,46.10778443113773
