name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FanOut,21806,2275,19531,10.432908373842062,99.25828970331588
FanIn,17906,1883,16023,10.516028146989836,82.15532286212914
CouplingBetweenObjects,22420,2290,20130,10.214094558429974,99.91273996509598
DepthOfInheritance,17814,1660,16154,9.318513528685305,72.42582897033158
LackOfCohesionInMethods,10357,1620,8737,15.641595056483537,70.68062827225131
LinesOfCode,22489,2292,20197,10.191649250744808,100.0
SourceLinesOfCode,22489,2292,20197,10.191649250744808,100.0
CommentLinesOfCode,7052,1654,5398,23.454339194554734,72.16404886561955
CommentDensity,7052,1654,5398,23.454339194554734,72.16404886561955
NumberOfChildren,3943,447,3496,11.33654577732691,19.50261780104712
ResponseForClass,14097,2113,11984,14.989004752784279,92.19022687609075
WeightedMethodCount,13050,1964,11086,15.049808429118775,85.68935427574172
CyclomaticComplexity,13015,1964,11051,15.090280445639648,85.68935427574172
DepthOfNesting,3867,1160,2707,29.9974140160331,50.6108202443281
OutDegree,10988,1876,9112,17.073170731707318,81.84991273996509
OutDegreeDistinct,10988,1876,9112,17.073170731707318,81.84991273996509
PatternSize,3867,1160,2707,29.9974140160331,50.6108202443281
NumberOfPatternVariables,3583,1061,2522,29.612056935528884,46.29144851657941
