name,tn,fp,fn,tp,r2,precision,recall,mcc
CyclomaticComplexity,48492,10263,1725,1021,-3.5696564232217636,9.048209854661469,37.18135469774217,0.10519338319635288
DepthOfNesting,50948,7807,1885,861,-2.6944536247802247,9.933087217351176,31.35469774217043,0.10723937686687693
LinesOfCode,49048,9707,1528,1218,-3.2826234496910676,11.148741418764303,44.35542607428988,0.15040757000962945
SourceLinesOfCode,48818,9937,1596,1150,-3.3962168442623124,10.372508343104537,41.87909686817189,0.13413670485075116
CommentLinesOfCode,52851,5904,1889,857,-1.9705816238044047,12.675639698269487,31.209031318281138,0.13971442630912817
CommentDensity,53077,5678,1935,811,-1.9019681639962704,12.498073663122208,29.533867443554264,0.13358359973114933
OutDegree,48905,9850,1627,1119,-3.374870434544226,10.201476889415625,40.75018208302986,0.12940690111452924
OutDegreeDistinct,46471,12284,1502,1244,-4.255028649527464,9.195742164399762,45.30225782957029,0.12163542189080441
PatternSize,51049,7706,1884,862,-2.655572664222282,10.060690943043884,31.39111434814275,0.10900393345733146
NumberOfPatternVariables,51498,7257,1969,777,-2.516821001054721,9.671396564600448,28.295702840495267,0.09771751425654156
