name,tn,fp,fn,tp,r2,precision,recall,mcc
CyclomaticComplexity,5513,1689,269,399,-2.2030066498494256,19.10919540229885,59.73053892215569,0.22901422260839932
DepthOfNesting,6426,776,360,308,-0.8583327651833235,28.413284132841326,46.10778443113773,0.28574176966895737
LinesOfCode,6097,1105,281,387,-1.2672968420282453,25.93833780160858,57.93413173652695,0.30283614282750737
SourceLinesOfCode,6107,1095,284,384,-1.2558458478765875,25.963488843813387,57.48502994011976,0.30164124339901377
CommentLinesOfCode,6675,527,579,89,-0.8092570759619331,14.44805194805195,13.323353293413174,0.06231846581081788
CommentDensity,6675,527,580,88,-0.8108929322693126,14.308943089430896,13.17365269461078,0.06081034316574081
OutDegree,6468,734,321,347,-0.7258284042855689,32.09990749306198,51.94610778443114,0.33806660096614005
OutDegreeDistinct,5082,2120,215,453,-2.8197244777315675,17.60590750097163,67.81437125748504,0.22801500129966226
PatternSize,6610,592,374,294,-0.5802371929287768,33.182844243792324,44.01197604790419,0.315596538297016
NumberOfPatternVariables,6580,622,367,301,-0.6178618879985096,32.61105092091008,45.05988023952096,0.3154973082576523
