name,tn,fp,fn,tp,r2,precision,recall,mcc
FanOut,1193,194,67,187,-0.2157349743682908,49.08136482939632,73.62204724409449,0.5108680392248789
FanIn,1178,209,184,70,-0.8305894441637482,25.089605734767023,27.559055118110237,0.12026698169226403
CouplingBetweenObjects,1213,174,67,187,-0.12257520621746387,51.8005540166205,73.62204724409449,0.5333030903758069
DepthOfInheritance,838,549,119,135,-2.111536256237618,19.736842105263158,53.14960629921261,0.09953588959111243
LackOfCohesionInMethods,1261,126,93,161,-0.020099461251554374,56.09756097560976,63.38582677165354,0.51703079533508
LinesOfCode,1297,90,66,188,0.2733538084235504,67.62589928057554,74.01574803149606,0.6511210339568992
SourceLinesOfCode,1302,85,68,186,0.28732777364617434,68.63468634686348,73.22834645669292,0.6536311741383195
CommentLinesOfCode,1351,36,113,141,0.3059597272763398,79.66101694915254,55.51181102362205,0.6170029381869724
CommentDensity,1272,115,105,149,-0.024757449659095654,56.439393939393945,58.661417322834644,0.4958602824728524
NumberOfChildren,1266,121,192,62,-0.4579503715604407,33.87978142076503,24.409448818897637,0.1802401270627308
ResponseForClass,1276,111,70,184,0.15690409823501672,62.37288135593221,72.44094488188976,0.6069655109693074
WeightedMethodCount,1277,110,74,180,0.14293013301239277,62.06896551724138,70.86614173228347,0.5967921577947298
CyclomaticComplexity,1105,282,55,199,-0.569742093341433,41.37214137214137,78.34645669291339,0.46099094803853097
DepthOfNesting,1248,139,98,156,-0.10394325258729853,52.88135593220339,61.417322834645674,0.4841147119083784
OutDegree,1191,196,80,174,-0.2856048004814109,47.02702702702703,68.50393700787401,0.4706114605649973
OutDegreeDistinct,1084,303,81,173,-0.7886675484958761,36.344537815126046,68.11023622047244,0.36875402323008283
PatternSize,1225,162,114,140,-0.2856048004814109,46.35761589403973,55.118110236220474,0.4054463595717581
NumberOfPatternVariables,1253,134,117,137,-0.16915509029287734,50.55350553505535,53.937007874015755,0.4312978080291105
