name,tn,fp,fn,tp,r2,precision,recall,mcc
FanOut,1193,194,67,187,-0.2157349743682908,49.08136482939632,73.62204724409449,0.5108680392248789
FanIn,1178,209,184,70,-0.8305894441637482,25.089605734767023,27.559055118110237,0.12026698169226403
CouplingBetweenObjects,1213,174,67,187,-0.12257520621746387,51.8005540166205,73.62204724409449,0.5333030903758069
DepthOfInheritance,838,549,119,135,-2.111536256237618,19.736842105263158,53.14960629921261,0.09953588959111243
LackOfCohesionInMethods,1261,126,93,161,-0.020099461251554374,56.09756097560976,63.38582677165354,0.51703079533508
LinesOfCode,1297,90,66,188,0.2733538084235504,67.62589928057554,74.01574803149606,0.6511210339568992
SourceLinesOfCode,1302,85,68,186,0.28732777364617434,68.63468634686348,73.22834645669292,0.6536311741383195
CommentLinesOfCode,1351,36,113,141,0.3059597272763398,79.66101694915254,55.51181102362205,0.6170029381869724
CommentDensity,1272,115,105,149,-0.024757449659095654,56.439393939393945,58.661417322834644,0.4958602824728524
NumberOfChildren,1266,121,192,62,-0.4579503715604407,33.87978142076503,24.409448818897637,0.1802401270627308
ResponseForClass,1276,111,70,184,0.15690409823501672,62.37288135593221,72.44094488188976,0.6069655109693074
WeightedMethodCount,1286,101,87,167,0.12429817938222731,62.31343283582089,65.74803149606299,0.572079989484992
CyclomaticComplexity,1173,214,59,195,-0.27163083525878684,47.67726161369193,76.77165354330708,0.5129213267562991
DepthOfNesting,1233,154,72,182,-0.05270538010434378,54.166666666666664,71.65354330708661,0.542747110288192
OutDegree,1248,139,85,169,-0.043389403289261,54.87012987012987,66.53543307086615,0.5235030235156288
OutDegreeDistinct,1185,202,78,176,-0.30423675411157625,46.56084656084656,69.29133858267717,0.47012503167290925
PatternSize,1246,141,82,172,-0.03873141488171972,54.9520766773163,67.71653543307087,0.5298275874926478
NumberOfPatternVariables,1268,119,98,156,-0.010783484436471591,56.72727272727273,61.417322834645674,0.5116899920791584
