name,tn,fp,fn,tp,r2,precision,recall,mcc
FanOut,2756,173,229,158,-0.17600789750185886,47.73413897280967,40.82687338501292,0.3740317511447821
FanIn,2644,285,274,113,-0.6352945639391521,28.391959798994975,29.198966408268735,0.19233909270113522
CouplingBetweenObjects,2741,188,238,149,-0.24621732421838782,44.21364985163205,38.50129198966408,0.34090716973483853
DepthOfInheritance,1641,1288,172,215,-3.271073458588841,14.30472388556221,55.55555555555556,0.07469674875991389
LackOfCohesionInMethods,2577,352,232,155,-0.7084293834355364,30.57199211045365,40.05167958656331,0.2501031968944504
LinesOfCode,2795,134,247,140,-0.11457464912489623,51.09489051094891,36.17571059431525,0.368517360402064
SourceLinesOfCode,2769,160,244,143,-0.1818586830615696,47.194719471947195,36.95090439276486,0.35086767033686217
CommentLinesOfCode,2831,98,259,128,-0.044365222408367266,56.63716814159292,33.0749354005168,0.3787592352089205
CommentDensity,2655,274,226,161,-0.46269638992768525,37.01149425287356,41.60206718346253,0.3066851790019176
NumberOfChildren,2593,336,297,90,-0.8517736296484495,21.12676056338028,23.25581395348837,0.11307485705834712
ResponseForClass,2711,218,224,163,-0.2930236086960738,42.78215223097113,42.11886304909561,0.3491228271174107
WeightedMethodCount,2753,176,248,139,-0.24036653865867708,44.12698412698413,35.917312661498705,0.3275070065558173
CyclomaticComplexity,2472,457,209,178,-0.9483115913836768,28.03149606299213,45.99483204134367,0.24799479750929554
DepthOfNesting,2516,413,214,173,-0.8342212729693173,29.522184300341298,44.70284237726098,0.2575973984172062
OutDegree,2538,391,219,168,-0.7844895957117761,30.05366726296959,43.41085271317829,0.2578117944713712
OutDegreeDistinct,2377,552,205,182,-1.2145223343505154,24.795640326975477,47.02842377260982,0.21795508871936475
PatternSize,2631,298,233,154,-0.5533835661032018,34.070796460176986,39.79328165374677,0.2771610471718315
NumberOfPatternVariables,2564,365,220,167,-0.7113547762153918,31.390977443609025,43.15245478036176,0.2684935446881861
