name,count,mean,std,min,25%,50%,75%,max
CyclomaticComplexity,448,2.6294642857142856,2.235813377125786,1.0,1.0,2.0,4.0,15.0
DepthOfNesting,448,2.5401785714285716,3.921282715335507,0.0,0.0,0.0,5.0,21.0
LinesOfCode,448,13.227678571428571,14.580853553491103,1.0,5.0,9.0,17.25,139.0
SourceLinesOfCode,448,12.712053571428571,13.848481362296242,1.0,5.0,9.0,17.0,134.0
CommentLinesOfCode,448,0.28125,1.077077099515061,0.0,0.0,0.0,0.0,9.0
CommentDensity,448,0.011281709956716745,0.04358989559677345,0.0,0.0,0.0,0.0,0.5
OutDegree,448,11.491071428571429,14.790707243854502,0.0,4.0,7.0,13.0,149.0
OutDegreeDistinct,448,4.845982142857143,4.504130038101458,0.0,2.0,3.0,6.0,38.0
PatternSize,448,5.676339285714286,14.377156034903615,0.0,0.0,0.0,7.0,170.0
NumberOfPatternVariables,448,1.3013392857142858,3.706309752713834,0.0,0.0,0.0,2.0,46.0
