name,count,mean,std,min,25%,50%,75%,max
CyclomaticComplexity,142,1.5774647887323943,1.1688871088430477,1.0,1.0,1.0,2.0,8.0
DepthOfNesting,142,0.1267605633802817,0.7976841918473027,0.0,0.0,0.0,0.0,7.0
LinesOfCode,142,6.091549295774648,6.227262105238539,1.0,2.0,5.0,8.0,53.0
SourceLinesOfCode,142,5.929577464788732,5.998401545144634,1.0,2.0,5.0,8.0,53.0
CommentLinesOfCode,142,0.20422535211267606,0.7099968274263969,0.0,0.0,0.0,0.0,5.0
CommentDensity,142,0.018567517127997656,0.05914496786050971,0.0,0.0,0.0,0.0,0.3333333333333333
OutDegree,142,5.091549295774648,9.638063524621783,0.0,1.0,3.0,6.0,102.0
OutDegreeDistinct,142,2.7816901408450705,2.8362301349650147,0.0,1.0,2.0,3.0,21.0
PatternSize,142,0.18309859154929578,1.1646063975149517,0.0,0.0,0.0,0.0,10.0
NumberOfPatternVariables,142,0.035211267605633804,0.21999264433176827,0.0,0.0,0.0,0.0,2.0
