name,count,mean,std,min,25%,50%,75%,max
CyclomaticComplexity,1259,2.9086576648133438,3.962512695405634,1.0,1.0,1.0,3.0,48.0
DepthOfNesting,1259,3.802223987291501,5.353464457285375,0.0,0.0,0.0,7.0,69.0
LinesOfCode,1259,7.372517871326449,11.09814179430255,1.0,2.0,4.0,8.0,135.0
SourceLinesOfCode,1259,6.583796664019062,9.17182340412177,1.0,2.0,4.0,7.0,108.0
CommentLinesOfCode,1259,0.3907863383637808,2.532732163310833,0.0,0.0,0.0,0.0,54.0
CommentDensity,1259,0.015031074340922256,0.06718692137362449,0.0,0.0,0.0,0.0,0.7021276595744681
OutDegree,1259,9.361397934868943,19.318939773555698,0.0,1.0,4.0,9.0,239.0
OutDegreeDistinct,1259,4.2621127879269265,4.79678472565529,0.0,1.0,3.0,6.0,42.0
PatternSize,1259,11.602065131056394,30.767961195266118,0.0,0.0,0.0,10.0,429.0
NumberOfPatternVariables,1259,2.7251787132644956,7.687709919829078,0.0,0.0,0.0,2.0,98.0
