name,count,mean,std,min,25%,50%,75%,max
CyclomaticComplexity,10797,1.93350004630916,2.113889848614579,1.0,1.0,1.0,2.0,36.0
DepthOfNesting,10797,1.6455496897286284,3.5068677480924895,0.0,0.0,0.0,1.0,30.0
LinesOfCode,10797,6.373344447531721,8.474292842171526,1.0,2.0,4.0,7.0,140.0
SourceLinesOfCode,10797,4.658794109474854,5.486898720365931,1.0,2.0,2.0,5.0,97.0
CommentLinesOfCode,10797,0.3343521348522738,1.4000935762798357,0.0,0.0,0.0,0.0,25.0
CommentDensity,10797,0.03995699240962648,0.12809275588743527,0.0,0.0,0.0,0.0,0.8571428571428571
OutDegree,10797,4.406316569417431,5.976817704367888,0.0,1.0,3.0,5.0,109.0
OutDegreeDistinct,10797,3.1969991664351207,3.2960897091249697,0.0,1.0,2.0,4.0,58.0
PatternSize,10797,2.6999166435120867,7.59978530929687,0.0,0.0,0.0,3.0,140.0
NumberOfPatternVariables,10797,0.5136612021857924,1.5299660537622524,0.0,0.0,0.0,0.0,26.0
