name,count,mean,std,min,25%,50%,75%,max
CyclomaticComplexity,11614,4.208627518512141,4.413169034271562,1.0,1.0,3.0,5.0,71.0
DepthOfNesting,11614,3.942483209919063,4.739158259604516,0.0,0.0,1.0,7.0,35.0
LinesOfCode,11614,16.00284139831238,20.357514365303658,1.0,5.0,10.0,18.0,326.0
SourceLinesOfCode,11614,14.630359910452901,17.913120544287263,1.0,5.0,9.0,17.0,300.0
CommentLinesOfCode,11614,1.0066299293955572,2.9075494706915603,0.0,0.0,0.0,1.0,147.0
CommentDensity,11614,0.0428250472178123,0.08657518384982103,0.0,0.0,0.0,0.05882352941176471,0.8333333333333334
OutDegree,11614,12.761150335801618,15.625722905261766,0.0,4.0,8.0,15.0,265.0
OutDegreeDistinct,11614,8.876011710005166,8.475998078742432,0.0,3.0,6.0,11.0,90.0
PatternSize,11614,7.621663509557431,13.402214619567413,0.0,0.0,2.0,10.0,240.0
NumberOfPatternVariables,11614,1.2203375236783194,2.4124943201991793,0.0,0.0,0.0,1.0,46.0
