name,count,mean,std,min,25%,50%,75%,max
CyclomaticComplexity,1971,2.465246067985794,3.2129472653274505,1.0,1.0,1.0,3.0,81.0
DepthOfNesting,1971,2.460679857940132,4.444565648240326,0.0,0.0,0.0,4.0,33.0
LinesOfCode,1971,10.252663622526637,13.957043843549112,1.0,2.0,6.0,12.0,123.0
SourceLinesOfCode,1971,9.43531202435312,12.178922090682585,1.0,2.0,5.0,12.0,115.0
CommentLinesOfCode,1971,0.3744292237442922,2.1957123923887893,0.0,0.0,0.0,0.0,49.0
CommentDensity,1971,0.016341971533585672,0.06376464003079609,0.0,0.0,0.0,0.0,0.9411764705882352
OutDegree,1971,9.437848807711822,13.285676736037562,0.0,2.0,4.0,11.0,109.0
OutDegreeDistinct,1971,3.301877219685439,3.0774588249780224,0.0,2.0,2.0,4.0,30.0
PatternSize,1971,5.987316083206494,15.58045572048227,0.0,0.0,0.0,6.0,155.0
NumberOfPatternVariables,1971,1.0755961440892947,2.621827178432797,0.0,0.0,0.0,1.0,28.0
