name,count,mean,std,min,25%,50%,75%,max
CyclomaticComplexity,1783,2.742007851934941,3.506873450577743,1.0,1.0,1.0,3.0,48.0
DepthOfNesting,1783,3.8524957936062814,5.281854161743303,0.0,0.0,0.0,8.0,69.0
LinesOfCode,1783,7.291082445316881,10.072574141586431,1.0,2.0,4.0,8.0,135.0
SourceLinesOfCode,1783,6.519910263600673,8.492851790155123,1.0,2.0,4.0,7.0,108.0
CommentLinesOfCode,1783,0.2641615255187886,2.121793801153439,0.0,0.0,0.0,0.0,54.0
CommentDensity,1783,0.00993948965941589,0.05442335427914933,0.0,0.0,0.0,0.0,0.7021276595744681
OutDegree,1783,8.351654514862592,17.015417063824255,0.0,1.0,4.0,8.0,239.0
OutDegreeDistinct,1783,4.197980931015143,4.68365790428751,0.0,1.0,3.0,5.0,42.0
PatternSize,1783,10.091418956814358,26.759225925194894,0.0,0.0,0.0,9.0,429.0
NumberOfPatternVariables,1783,2.437464946719013,6.685276103329979,0.0,0.0,0.0,2.0,98.0
