name,count,mean,std,min,25%,50%,75%,max
CyclomaticComplexity,12053,2.112752011947233,2.752541142791816,1.0,1.0,1.0,2.0,53.0
DepthOfNesting,12053,2.226665560441384,4.855536235558534,0.0,0.0,0.0,0.0,42.0
LinesOfCode,12053,7.38737243839708,12.655597648830378,1.0,2.0,3.0,8.0,259.0
SourceLinesOfCode,12053,7.140131087696009,11.54621846547084,1.0,2.0,3.0,8.0,215.0
CommentLinesOfCode,12053,0.1453580021571393,1.5938224165418644,0.0,0.0,0.0,0.0,42.0
CommentDensity,12053,0.0036579501198726145,0.026682157280147698,0.0,0.0,0.0,0.0,0.4266666666666667
OutDegree,12053,8.516551895793578,15.16978790150017,0.0,2.0,4.0,8.0,246.0
OutDegreeDistinct,12053,4.8697419729527915,5.365804678590459,0.0,2.0,3.0,6.0,55.0
PatternSize,12053,4.12859868912304,13.398766333727755,0.0,0.0,0.0,0.0,377.0
NumberOfPatternVariables,12053,0.9806687131834398,3.1992741020634243,0.0,0.0,0.0,0.0,66.0
