name,count,mean,std,min,25%,50%,75%,max
FanOut,78,8.35897435897436,5.688846136341742,1.0,4.0,8.0,11.0,32.0
FanIn,78,0.7692307692307693,2.379146834547978,0.0,0.0,0.0,1.0,18.0
CouplingBetweenObjects,78,9.064102564102564,6.052454141272046,1.0,4.25,9.0,11.75,33.0
DepthOfInheritance,78,0.9743589743589743,1.2376596995141804,0.0,0.0,0.0,2.0,7.0
LackOfCohesionInMethods,78,0.6282051282051282,0.6858301322944119,0.0,0.0,1.0,1.0,3.0
LinesOfCode,78,18.08974358974359,15.119597584004381,3.0,8.0,13.5,24.0,77.0
SourceLinesOfCode,78,15.256410256410257,13.513279565254491,3.0,7.0,12.0,19.0,73.0
CommentLinesOfCode,78,2.551282051282051,3.7542960185284526,0.0,0.0,1.0,3.75,17.0
CommentDensity,78,0.11569418626191058,0.1332275296810433,0.0,0.0,0.07417582417582418,0.1906158357771261,0.5862068965517241
NumberOfChildren,78,0.08974358974358974,0.6070130710823851,0.0,0.0,0.0,0.0,5.0
ResponseForClass,78,4.538461538461538,3.816207091267003,1.0,1.0,3.5,6.0,16.0
WeightedMethodCount,78,1.1025641025641026,1.437799035771713,0.0,0.0,1.0,2.0,6.0
CyclomaticComplexity,78,1.7777777777777781,0.9484043965898193,1.0,1.0,2.0,2.0,6.0
DepthOfNesting,78,1.5897435897435896,2.343467834607826,0.0,0.0,0.0,5.0,6.0
OutDegree,78,10.526709401709402,11.301796693971207,0.0,4.0,6.0,14.0,59.0
OutDegreeDistinct,78,4.077991452991453,2.953839790242441,0.0,2.0,3.0,6.0,17.0
PatternSize,78,2.1923076923076925,3.5237881487233187,0.0,0.0,0.0,6.0,16.0
NumberOfPatternVariables,78,0.6923076923076923,1.0727763750424182,0.0,0.0,0.0,2.0,4.0
