name,count,mean,std,min,25%,50%,75%,max
FanOut,199,14.201005025125628,10.353343235715712,2.0,6.0,12.0,21.0,69.0
FanIn,199,3.301507537688442,6.621021598573839,0.0,0.0,1.0,2.0,30.0
CouplingBetweenObjects,199,17.33668341708543,13.517374194211678,2.0,7.0,13.0,24.0,70.0
DepthOfInheritance,199,0.9195979899497487,0.7477696393484379,0.0,0.0,1.0,1.0,3.0
LackOfCohesionInMethods,199,1.5979899497487438,3.4828868758254945,0.0,1.0,1.0,1.0,30.0
LinesOfCode,199,62.85427135678392,131.33173306726462,3.0,8.0,15.0,38.0,709.0
SourceLinesOfCode,199,56.005025125628144,118.35678374072549,3.0,8.0,14.0,27.5,625.0
CommentLinesOfCode,199,6.180904522613066,16.57908616804936,0.0,0.0,0.0,6.0,120.0
CommentDensity,199,0.062464954757640294,0.11111850526324961,0.0,0.0,0.0,0.08333333333333333,0.6666666666666666
NumberOfChildren,199,1.9748743718592965,4.923082291797957,0.0,0.0,0.0,1.0,23.0
ResponseForClass,199,9.050251256281408,9.105303562586723,1.0,3.0,6.0,10.0,72.0
WeightedMethodCount,199,5.190954773869347,12.276433800643437,0.0,1.0,3.0,5.0,112.0
CyclomaticComplexity,199,2.7232759033261544,1.6453864640074376,1.0,1.3333333333333333,2.6666666666666665,3.0,12.0
DepthOfNesting,199,3.4489237855946397,3.4212204832840394,0.0,0.0,3.0,5.0,17.0
OutDegree,199,10.796252991146206,14.047061166933677,0.0,6.0,8.0,11.0,135.0
OutDegreeDistinct,199,4.96017408470926,3.184701682118779,0.0,3.0,4.0,6.0,22.0
PatternSize,199,5.192941493180187,5.825054935027785,0.0,0.0,5.0,7.0,35.0
NumberOfPatternVariables,199,0.8801435750179468,1.3682420198776337,0.0,0.0,0.0,1.6666666666666667,10.0
