name,count,mean,std,min,25%,50%,75%,max
FanOut,770,18.455844155844154,56.0132229268633,1.0,8.0,12.0,16.0,1055.0
FanIn,770,5.35064935064935,22.77866946098138,0.0,0.0,1.0,5.0,472.0
CouplingBetweenObjects,770,23.002597402597402,60.24840208862823,3.0,10.0,14.0,21.0,1066.0
DepthOfInheritance,770,1.1675324675324674,0.9563886286220118,0.0,0.0,1.0,2.0,4.0
LackOfCohesionInMethods,770,0.8467532467532467,0.6609258619167759,0.0,0.0,1.0,1.0,6.0
LinesOfCode,770,20.4025974025974,91.60484478193831,1.0,6.0,7.0,12.0,1635.0
SourceLinesOfCode,770,18.80909090909091,76.45567773861055,2.0,6.0,8.0,12.0,1289.0
CommentLinesOfCode,770,1.4701298701298702,15.069488502541661,0.0,0.0,0.0,0.0,341.0
CommentDensity,770,0.013058906515791158,0.056513654070110234,0.0,0.0,0.0,0.0,0.5454545454545454
NumberOfChildren,770,0.2649350649350649,0.9036504833385707,0.0,0.0,0.0,0.0,16.0
ResponseForClass,770,9.85974025974026,24.90175368791298,1.0,3.0,5.0,8.0,417.0
WeightedMethodCount,770,1.9727272727272727,2.834495680764876,0.0,0.0,1.0,3.0,30.0
CyclomaticComplexity,770,2.301668634395907,2.6992371121728786,1.0,1.0,1.5,3.0,25.0
DepthOfNesting,770,2.781523022432113,3.6209174146283503,0.0,0.0,0.0,5.0,18.0
OutDegree,770,6.4253644929046,9.7791597677433,0.0,2.0,4.0,7.0,91.0
OutDegreeDistinct,770,4.430756071023451,4.212685738709333,0.0,2.0,4.0,5.458333333333333,35.0
PatternSize,770,9.294793388429751,28.950227326151555,0.0,0.0,0.0,8.0,226.0
NumberOfPatternVariables,770,1.4305844155844156,3.6797938583072063,0.0,0.0,0.0,2.0,34.0
