name,count,mean,std,min,25%,50%,75%,max
FanOut,14,9.571428571428571,8.653272264243215,1.0,3.0,5.5,13.75,27.0
FanIn,14,0.7142857142857143,1.3259870882635918,0.0,0.0,0.0,1.0,5.0
CouplingBetweenObjects,14,10.285714285714286,9.19388234248582,1.0,3.0,6.0,14.75,28.0
DepthOfInheritance,14,0.8571428571428571,0.7703288865196432,0.0,0.0,1.0,1.0,2.0
LackOfCohesionInMethods,14,1.8571428571428572,1.4064216928154862,1.0,1.0,1.0,2.0,6.0
LinesOfCode,14,49.142857142857146,76.03931892105572,3.0,5.25,16.5,47.75,254.0
SourceLinesOfCode,14,43.92857142857143,66.8677964180232,3.0,5.25,14.5,45.75,219.0
CommentLinesOfCode,14,3.0,6.748219138295787,0.0,0.0,0.0,1.75,24.0
CommentDensity,14,0.0252714799565798,0.03810266456219843,0.0,0.0,0.0,0.053394186458702586,0.09876543209876544
NumberOfChildren,14,0.2857142857142857,0.8254203058555569,0.0,0.0,0.0,0.0,3.0
ResponseForClass,14,5.357142857142857,5.256602337239154,1.0,2.0,3.0,7.0,16.0
WeightedMethodCount,14,4.928571428571429,6.855253860690025,1.0,1.0,2.5,4.0,26.0
CyclomaticComplexity,14,3.5714285714285716,6.021937915964947,1.0,1.0,1.5,3.0,24.0
DepthOfNesting,14,0.7857142857142857,2.082105865503682,0.0,0.0,0.0,0.0,7.0
OutDegree,14,19.714285714285715,31.487307751704485,0.0,1.25,8.5,15.75,111.0
OutDegreeDistinct,14,5.071428571428571,6.207492813766846,0.0,1.25,3.0,7.0,24.0
PatternSize,14,3.5714285714285716,10.051515658494846,0.0,0.0,0.0,0.0,36.0
NumberOfPatternVariables,14,0.2857142857142857,0.8254203058555569,0.0,0.0,0.0,0.0,3.0
