name,count,mean,std,min,25%,50%,75%,max
FanOut,210,12.976190476190476,12.673462639490047,1.0,4.0,10.0,16.0,88.0
FanIn,210,3.204761904761905,6.093449003350774,0.0,0.0,1.0,3.0,53.0
CouplingBetweenObjects,210,15.895238095238096,13.799260648333556,2.0,6.0,13.0,22.0,89.0
DepthOfInheritance,210,0.319047619047619,0.6249356312262265,0.0,0.0,0.0,0.0,3.0
LackOfCohesionInMethods,210,0.7761904761904762,2.434285559181774,0.0,0.0,0.0,1.0,25.0
LinesOfCode,210,36.871428571428574,64.78796954643214,3.0,8.0,16.0,42.0,753.0
SourceLinesOfCode,210,32.53809523809524,53.81201530857057,3.0,8.0,16.0,34.75,592.0
CommentLinesOfCode,210,3.7904761904761903,12.985597644453678,0.0,0.0,0.0,3.0,147.0
CommentDensity,210,0.06690310406376584,0.1282741832387459,0.0,0.0,0.0,0.07692307692307693,0.5833333333333334
NumberOfChildren,210,0.4238095238095238,1.2204026168757933,0.0,0.0,0.0,0.0,10.0
ResponseForClass,210,7.9523809523809526,10.620807376459904,1.0,2.0,4.0,9.0,70.0
WeightedMethodCount,210,1.4333333333333333,4.218645481309101,0.0,0.0,0.0,1.0,42.0
CyclomaticComplexity,210,3.1285714285714286,3.611205693651248,1.0,1.0,2.0,4.0,23.0
DepthOfNesting,210,3.8285714285714287,5.84153932465377,0.0,0.0,0.0,6.75,33.0
OutDegree,210,13.023809523809524,17.009268645883967,0.0,3.0,7.0,13.75,95.0
OutDegreeDistinct,210,4.133333333333334,3.7951534610162314,0.0,2.0,3.0,6.0,23.0
PatternSize,210,9.847619047619048,18.76690610193566,0.0,0.0,0.0,12.0,155.0
NumberOfPatternVariables,210,1.6238095238095238,3.3441235700230196,0.0,0.0,0.0,2.0,25.0
