name,count,mean,std,min,25%,50%,75%,max
FanOut,201,5.383084577114428,5.09681394969553,1.0,2.0,4.0,7.0,32.0
FanIn,201,0.8955223880597015,2.0697898083492126,0.0,0.0,0.0,1.0,18.0
CouplingBetweenObjects,201,6.248756218905473,5.420130159440236,1.0,2.0,5.0,9.0,33.0
DepthOfInheritance,201,1.0199004975124377,0.9053187229090931,0.0,0.0,1.0,2.0,7.0
LackOfCohesionInMethods,201,0.7263681592039801,0.5742397093384386,0.0,0.0,1.0,1.0,3.0
LinesOfCode,201,11.08457711442786,12.402330867432688,3.0,5.0,6.0,13.0,79.0
SourceLinesOfCode,201,9.532338308457712,10.490004719015866,3.0,4.0,5.0,12.0,73.0
CommentLinesOfCode,201,1.263681592039801,2.820483004400036,0.0,0.0,0.0,1.0,17.0
CommentDensity,201,0.05765962425542814,0.1074653186840372,0.0,0.0,0.0,0.07692307692307693,0.5862068965517241
NumberOfChildren,201,0.263681592039801,1.007533809908855,0.0,0.0,0.0,0.0,5.0
ResponseForClass,201,2.616915422885572,3.049182257230772,1.0,1.0,1.0,3.0,16.0
WeightedMethodCount,201,0.9203980099502488,0.9968108350113475,0.0,0.0,1.0,1.0,6.0
CyclomaticComplexity,201,1.3233830845771144,0.7279426471312405,1.0,1.0,1.0,1.0,6.0
DepthOfNesting,201,0.6417910447761194,1.6766170630526824,0.0,0.0,0.0,0.0,6.0
OutDegree,201,6.686567164179104,9.552291277840958,0.0,2.0,4.0,5.0,58.0
OutDegreeDistinct,201,2.656716417910448,2.4772095519311854,0.0,2.0,2.0,3.0,17.0
PatternSize,201,0.8805970149253731,2.460827430315065,0.0,0.0,0.0,0.0,16.0
NumberOfPatternVariables,201,0.27860696517412936,0.7563002378362998,0.0,0.0,0.0,0.0,4.0
