name,count,mean,std,min,25%,50%,75%,max
FanOut,6,8.666666666666666,12.43650540411842,3.0,3.0,3.5,4.75,34.0
FanIn,6,5.0,12.24744871391589,0.0,0.0,0.0,0.0,30.0
CouplingBetweenObjects,6,13.666666666666666,16.14517471774978,3.0,3.0,3.5,26.5,35.0
DepthOfInheritance,6,2.0,1.2649110640673518,0.0,2.0,2.0,2.0,4.0
LackOfCohesionInMethods,6,0.8333333333333334,0.408248290463863,0.0,1.0,1.0,1.0,1.0
LinesOfCode,6,19.833333333333332,39.27552248750698,3.0,4.0,4.0,4.0,100.0
SourceLinesOfCode,6,19.166666666666668,37.642617691476595,3.0,4.0,4.0,4.0,96.0
CommentLinesOfCode,6,0.6666666666666666,1.632993161855452,0.0,0.0,0.0,0.0,4.0
CommentDensity,6,0.006666666666666667,0.016329931618554522,0.0,0.0,0.0,0.0,0.04
NumberOfChildren,6,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,1.0
ResponseForClass,6,3.5,5.205766033928148,1.0,1.0,1.0,2.5,14.0
WeightedMethodCount,6,1.3333333333333333,0.816496580927726,1.0,1.0,1.0,1.0,3.0
CyclomaticComplexity,6,1.0,0.0,1.0,1.0,1.0,1.0,1.0
DepthOfNesting,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OutDegree,6,7.0,16.661332479726823,0.0,0.0,0.0,0.75,41.0
OutDegreeDistinct,6,1.8333333333333333,4.020779360604939,0.0,0.0,0.0,0.75,10.0
PatternSize,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NumberOfPatternVariables,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
