name,count,mean,std,min,25%,50%,75%,max
FanOut,919,5.182807399347117,6.039384929231704,0.0,2.0,4.0,7.0,82.0
FanIn,919,3.263329706202394,7.9659046187820195,0.0,0.0,1.0,3.0,117.0
CouplingBetweenObjects,919,8.142546245919478,10.270859344743451,0.0,3.0,6.0,9.0,127.0
DepthOfInheritance,919,1.9357997823721436,1.5659823937301212,0.0,1.0,2.0,3.0,7.0
LackOfCohesionInMethods,919,0.545157780195865,1.0352585650112025,0.0,0.0,0.0,1.0,9.0
LinesOfCode,919,29.06093579978237,326.39388802333997,1.0,1.0,4.0,7.0,7357.0
SourceLinesOfCode,919,28.529923830250272,326.4392347660687,1.0,1.0,4.0,6.0,7357.0
CommentLinesOfCode,919,0.4167573449401523,2.3163203147517195,0.0,0.0,0.0,0.0,32.0
CommentDensity,919,0.017748250919414083,0.08376795684991363,0.0,0.0,0.0,0.0,0.75
NumberOfChildren,919,0.5701849836779108,2.214338073329966,0.0,0.0,0.0,0.0,28.0
ResponseForClass,919,1.9031556039173014,3.8249241165737575,0.0,0.0,1.0,2.0,60.0
WeightedMethodCount,919,0.8422198041349293,2.280953120258875,0.0,0.0,0.0,1.0,60.0
CyclomaticComplexity,919,0.8422198041349293,2.280953120258875,0.0,0.0,0.0,1.0,60.0
DepthOfNesting,919,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OutDegree,919,1.6648531011969532,5.7136436828149035,0.0,0.0,0.0,1.0,90.0
OutDegreeDistinct,919,0.8835690968443961,2.4637993167828154,0.0,0.0,0.0,1.0,59.0
PatternSize,919,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NumberOfPatternVariables,919,0.0,0.0,0.0,0.0,0.0,0.0,0.0
