name,count,mean,std,min,25%,50%,75%,max
FanOut,788,19.838832487309645,62.62275398002758,1.0,9.0,14.0,20.0,1601.0
FanIn,788,7.813451776649746,21.947771474463128,0.0,1.0,4.0,11.0,458.0
CouplingBetweenObjects,788,26.109137055837564,66.45632374697989,3.0,12.0,19.0,27.0,1617.0
DepthOfInheritance,788,1.0951776649746192,0.8282355789508381,0.0,1.0,1.0,2.0,4.0
LackOfCohesionInMethods,788,0.766497461928934,1.2906838179467839,0.0,0.0,0.0,1.0,18.0
LinesOfCode,788,23.503807106598984,106.55280672423197,1.0,7.0,10.0,17.0,2518.0
SourceLinesOfCode,788,20.303299492385786,82.34146919660408,2.0,6.75,11.0,17.0,1972.0
CommentLinesOfCode,788,3.116751269035533,27.74578871586413,0.0,0.0,0.0,0.0,508.0
CommentDensity,788,0.025757606030577373,0.10320250852089849,0.0,0.0,0.0,0.0,0.7755102040816326
NumberOfChildren,788,0.38578680203045684,1.5759956060118527,0.0,0.0,0.0,0.0,22.0
ResponseForClass,788,10.435279187817258,28.3368667431947,1.0,4.0,6.0,9.0,601.0
WeightedMethodCount,788,1.9911167512690355,7.469288055938846,0.0,0.0,0.0,2.0,121.0
CyclomaticComplexity,788,3.799492385786802,7.728091942952162,1.0,2.0,2.0,4.0,121.0
DepthOfNesting,788,2.685279187817259,6.102049277557636,0.0,0.0,0.0,5.0,84.0
OutDegree,788,8.586294416243655,17.879773981686895,0.0,3.0,5.0,8.0,340.0
OutDegreeDistinct,788,6.651015228426396,13.447107036802901,0.0,2.0,4.0,7.0,258.0
PatternSize,788,6.035532994923858,21.225569111017602,0.0,0.0,0.0,6.0,328.0
NumberOfPatternVariables,788,1.0672588832487309,2.8622405453154256,0.0,0.0,0.0,2.0,43.0
