name,count,mean,std,min,25%,50%,75%,max
FanOut,306,45.80392156862745,136.65831790792444,1.0,7.0,17.0,31.75,1984.0
FanIn,306,10.088235294117647,25.5955053461498,0.0,1.0,4.0,9.75,273.0
CouplingBetweenObjects,306,54.05882352941177,146.0963856688338,2.0,11.0,21.0,40.75,2006.0
DepthOfInheritance,306,1.173202614379085,1.9212532295164968,0.0,0.0,0.0,2.0,10.0
LackOfCohesionInMethods,306,3.0163398692810457,7.9397151331509095,0.0,0.0,1.0,2.0,86.0
LinesOfCode,306,116.6078431372549,294.2336917841097,3.0,6.0,18.0,82.0,2827.0
SourceLinesOfCode,306,75.99019607843137,177.34169084962522,3.0,6.0,15.0,58.75,1827.0
CommentLinesOfCode,306,38.98039215686274,125.89256260474632,0.0,0.0,0.0,14.5,1096.0
CommentDensity,306,0.12966888093176016,0.20082752526333583,0.0,0.0,0.0,0.24604261796042617,0.78
NumberOfChildren,306,0.6111111111111112,2.445954989480523,0.0,0.0,0.0,0.0,26.0
ResponseForClass,306,33.94117647058823,63.14451136348028,1.0,4.0,10.5,31.75,497.0
WeightedMethodCount,306,12.11437908496732,39.15463235923651,0.0,0.0,2.0,8.0,475.0
CyclomaticComplexity,306,19.18954248366013,45.209059245053744,1.0,1.0,5.0,13.0,475.0
DepthOfNesting,306,12.215686274509803,40.07164750121848,0.0,0.0,0.0,6.75,525.0
OutDegree,306,62.62091503267974,174.69970512557612,0.0,3.0,12.0,54.25,2199.0
OutDegreeDistinct,306,38.94444444444444,100.59019369399417,0.0,2.0,10.0,31.0,1167.0
PatternSize,306,23.68300653594771,82.48247209000615,0.0,0.0,0.0,8.75,961.0
NumberOfPatternVariables,306,5.388888888888889,19.086749521224785,0.0,0.0,0.0,2.0,226.0
