name,count,mean,std,min,25%,50%,75%,max
FanOut,2370,25.938396624472574,30.02865527411479,0.0,9.0,15.0,30.0,246.0
FanIn,2370,10.688607594936709,26.38942853760963,0.0,1.0,3.0,8.0,367.0
CouplingBetweenObjects,2370,35.84388185654009,42.7813027309191,1.0,12.0,21.0,40.0,382.0
DepthOfInheritance,2370,1.2413502109704642,1.3078242445661128,0.0,0.0,1.0,2.0,8.0
LackOfCohesionInMethods,2370,2.120675105485232,3.705578998105335,0.0,0.0,1.0,2.0,54.0
LinesOfCode,2370,101.85443037974683,250.05085913947002,3.0,9.0,25.0,88.0,2753.0
SourceLinesOfCode,2370,48.324894514767934,91.0317759132935,3.0,7.0,18.0,48.75,881.0
CommentLinesOfCode,2370,50.32742616033755,203.40103794251146,0.0,0.0,3.0,20.0,2400.0
CommentDensity,2370,0.21820791187499924,0.2663357374503946,0.0,0.0,0.08333333333333333,0.3994897959183674,0.92
NumberOfChildren,2370,0.6016877637130802,2.3774295075342824,0.0,0.0,0.0,0.0,33.0
ResponseForClass,2370,23.41012658227848,38.45737586094196,1.0,4.0,11.0,25.0,314.0
WeightedMethodCount,2370,8.670886075949367,19.261385389776382,0.0,0.0,2.0,8.0,195.0
CyclomaticComplexity,2370,11.434599156118143,19.199914288419368,1.0,2.0,5.0,11.0,195.0
DepthOfNesting,2370,6.870886075949367,13.372231883192915,0.0,0.0,0.0,8.0,107.0
OutDegree,2370,28.867510548523207,67.86342652328821,0.0,2.0,8.0,23.0,847.0
OutDegreeDistinct,2370,20.242616033755276,43.677322777655064,0.0,2.0,6.0,17.0,397.0
PatternSize,2370,12.10126582278481,32.14210805561081,0.0,0.0,0.0,10.0,411.0
NumberOfPatternVariables,2370,2.3358649789029537,5.88336944967607,0.0,0.0,0.0,2.0,72.0
