name,count,mean,std,min,25%,50%,75%,max
FanOut,90,17.833333333333332,16.29727350189306,2.0,9.0,12.0,18.75,76.0
FanIn,90,4.2555555555555555,8.709495155728915,0.0,0.0,1.0,3.0,53.0
CouplingBetweenObjects,90,21.755555555555556,19.93828180030978,2.0,10.0,16.0,25.5,90.0
DepthOfInheritance,90,1.1444444444444444,0.9308822818818704,0.0,1.0,1.0,2.0,4.0
LackOfCohesionInMethods,90,2.3333333333333335,3.1085239822646704,0.0,1.0,1.5,2.0,23.0
LinesOfCode,90,38.7,49.072395498895304,1.0,14.0,19.5,38.0,263.0
SourceLinesOfCode,90,35.87777777777778,44.78207601356701,1.0,14.0,17.5,33.5,243.0
CommentLinesOfCode,90,2.5444444444444443,5.943859282573587,0.0,0.0,0.0,2.0,40.0
CommentDensity,90,0.03176063106247585,0.05166859416322905,0.0,0.0,0.0,0.053698435277382654,0.23170731707317074
NumberOfChildren,90,0.2,0.7063118323335537,0.0,0.0,0.0,0.0,4.0
ResponseForClass,90,12.011111111111111,13.252512540616626,1.0,4.0,7.0,16.0,74.0
WeightedMethodCount,90,8.077777777777778,13.085052607758794,0.0,1.0,4.0,8.75,71.0
CyclomaticComplexity,90,9.466666666666667,12.74045137048117,1.0,2.0,6.0,11.75,71.0
DepthOfNesting,90,7.911111111111111,11.570637425697594,0.0,0.0,6.0,9.0,67.0
OutDegree,90,29.38888888888889,45.01053420881379,2.0,8.25,12.0,23.5,217.0
OutDegreeDistinct,90,11.555555555555555,14.23961171600973,2.0,4.0,8.0,14.0,86.0
PatternSize,90,14.044444444444444,25.71971268257884,0.0,0.0,6.0,15.0,168.0
NumberOfPatternVariables,90,2.7111111111111112,4.712508920372911,0.0,0.0,1.0,3.0,29.0
