name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CyclomaticComplexity,448,51,397,11.383928571428571,100.0
DepthOfNesting,180,28,152,15.555555555555555,54.90196078431373
LinesOfCode,448,51,397,11.383928571428571,100.0
SourceLinesOfCode,448,51,397,11.383928571428571,100.0
CommentLinesOfCode,51,16,35,31.372549019607842,31.372549019607842
CommentDensity,51,16,35,31.372549019607842,31.372549019607842
OutDegree,443,51,392,11.512415349887133,100.0
OutDegreeDistinct,443,51,392,11.512415349887133,100.0
PatternSize,180,28,152,15.555555555555555,54.90196078431373
NumberOfPatternVariables,154,25,129,16.233766233766232,49.01960784313725
