name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CyclomaticComplexity,558,28,530,5.017921146953405,100.0
DepthOfNesting,155,14,141,9.032258064516128,50.0
LinesOfCode,558,28,530,5.017921146953405,100.0
SourceLinesOfCode,558,28,530,5.017921146953405,100.0
CommentLinesOfCode,29,4,25,13.793103448275861,14.285714285714285
CommentDensity,29,4,25,13.793103448275861,14.285714285714285
OutDegree,549,27,522,4.918032786885246,96.42857142857143
OutDegreeDistinct,549,27,522,4.918032786885246,96.42857142857143
PatternSize,155,14,141,9.032258064516128,50.0
NumberOfPatternVariables,81,11,70,13.580246913580247,39.285714285714285
