name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CyclomaticComplexity,11005,580,10425,5.270331667423898,100.0
DepthOfNesting,2886,194,2692,6.722106722106721,33.44827586206897
LinesOfCode,11005,580,10425,5.270331667423898,100.0
SourceLinesOfCode,11005,580,10425,5.270331667423898,100.0
CommentLinesOfCode,1492,194,1298,13.002680965147453,33.44827586206897
CommentDensity,1492,194,1298,13.002680965147453,33.44827586206897
OutDegree,10440,571,9869,5.469348659003832,98.44827586206897
OutDegreeDistinct,10440,571,9869,5.469348659003832,98.44827586206897
PatternSize,2886,194,2692,6.722106722106721,33.44827586206897
NumberOfPatternVariables,2518,171,2347,6.791104050833995,29.48275862068965
