name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CyclomaticComplexity,10792,978,9814,9.062268346923647,100.0
DepthOfNesting,5596,668,4928,11.937097927090779,68.30265848670757
LinesOfCode,10792,978,9814,9.062268346923647,100.0
SourceLinesOfCode,10792,978,9814,9.062268346923647,100.0
CommentLinesOfCode,3446,503,2943,14.596633778293674,51.43149284253579
CommentDensity,3446,503,2943,14.596633778293674,51.43149284253579
OutDegree,10652,976,9676,9.162598573037927,99.79550102249489
OutDegreeDistinct,10652,976,9676,9.162598573037927,99.79550102249489
PatternSize,5596,668,4928,11.937097927090779,68.30265848670757
NumberOfPatternVariables,5060,581,4479,11.482213438735178,59.40695296523517
