name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CyclomaticComplexity,1795,295,1500,16.434540389972145,100.0
DepthOfNesting,817,112,705,13.708690330477355,37.96610169491525
LinesOfCode,1795,295,1500,16.434540389972145,100.0
SourceLinesOfCode,1795,295,1500,16.434540389972145,100.0
CommentLinesOfCode,93,0,93,0.0,0.0
CommentDensity,93,0,93,0.0,0.0
OutDegree,1558,214,1344,13.735558408215661,72.54237288135593
OutDegreeDistinct,1558,214,1344,13.735558408215661,72.54237288135593
PatternSize,817,112,705,13.708690330477355,37.96610169491525
NumberOfPatternVariables,756,104,652,13.756613756613756,35.25423728813559
