name,count,percentage_faulty mean,percentage_faulty std,percentage_total_faults mean,percentage_total_faults std
CommentDensity,6,13.826478951478952,8.522382534346841,24.409522513781166,20.674519667375037
CommentLinesOfCode,6,13.826478951478952,8.522382534346841,24.409522513781166,20.674519667375037
CyclomaticComplexity,7,7.013241836908184,4.6212496345921785,100.0,0.0
DepthOfNesting,5,5.829842200809942,6.277784897036293,5.616783753751646,6.206384200762968
LinesOfCode,7,7.013241836908184,4.6212496345921785,100.0,0.0
NumberOfPatternVariables,5,5.815647361782025,6.2948223828157674,5.327394686227531,6.248747937756039
OutDegree,7,6.466133863373533,3.734825416193048,86.49444236275953,17.43150807802948
OutDegreeDistinct,7,6.466133863373533,3.734825416193048,86.49444236275953,17.43150807802948
PatternSize,5,5.829842200809942,6.277784897036293,5.616783753751646,6.206384200762968
SourceLinesOfCode,7,7.013241836908184,4.6212496345921785,100.0,0.0
