name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FanOut,302,71,231,23.509933774834437,100.0
FanIn,247,60,187,24.291497975708502,84.50704225352112
CouplingBetweenObjects,302,71,231,23.509933774834437,100.0
DepthOfInheritance,160,33,127,20.625,46.478873239436616
LackOfCohesionInMethods,201,48,153,23.88059701492537,67.6056338028169
LinesOfCode,302,71,231,23.509933774834437,100.0
SourceLinesOfCode,302,71,231,23.509933774834437,100.0
CommentLinesOfCode,147,55,92,37.41496598639456,77.46478873239437
CommentDensity,147,55,92,37.41496598639456,77.46478873239437
NumberOfChildren,66,13,53,19.696969696969695,18.30985915492958
ResponseForClass,302,71,231,23.509933774834437,100.0
WeightedMethodCount,302,71,231,23.509933774834437,100.0
CyclomaticComplexity,302,71,231,23.509933774834437,100.0
DepthOfNesting,157,48,109,30.573248407643312,67.6056338028169
OutDegree,291,71,220,24.398625429553263,100.0
OutDegreeDistinct,291,71,220,24.398625429553263,100.0
PatternSize,157,48,109,30.573248407643312,67.6056338028169
NumberOfPatternVariables,140,42,98,30.0,59.154929577464785
