name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FanOut,297,147,150,49.494949494949495,100.0
FanIn,241,127,114,52.69709543568465,86.39455782312925
CouplingBetweenObjects,297,147,150,49.494949494949495,100.0
DepthOfInheritance,174,82,92,47.12643678160919,55.78231292517006
LackOfCohesionInMethods,244,121,123,49.59016393442623,82.31292517006803
LinesOfCode,297,147,150,49.494949494949495,100.0
SourceLinesOfCode,297,147,150,49.494949494949495,100.0
CommentLinesOfCode,168,113,55,67.26190476190477,76.87074829931973
CommentDensity,168,113,55,67.26190476190477,76.87074829931973
NumberOfChildren,127,80,47,62.99212598425197,54.421768707483
ResponseForClass,297,147,150,49.494949494949495,100.0
WeightedMethodCount,297,147,150,49.494949494949495,100.0
CyclomaticComplexity,297,147,150,49.494949494949495,100.0
DepthOfNesting,214,127,87,59.345794392523366,86.39455782312925
OutDegree,292,146,146,50.0,99.31972789115646
OutDegreeDistinct,292,146,146,50.0,99.31972789115646
PatternSize,214,127,87,59.345794392523366,86.39455782312925
NumberOfPatternVariables,209,126,83,60.28708133971292,85.71428571428571
