name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FanOut,5651,1409,4242,24.93364006370554,100.0
FanIn,4540,1180,3360,25.991189427312776,83.7473385379702
CouplingBetweenObjects,5651,1409,4242,24.93364006370554,100.0
DepthOfInheritance,4495,1100,3395,24.47163515016685,78.06955287437899
LackOfCohesionInMethods,5031,1214,3817,24.130391572252037,86.16039744499645
LinesOfCode,5651,1409,4242,24.93364006370554,100.0
SourceLinesOfCode,5651,1409,4242,24.93364006370554,100.0
CommentLinesOfCode,3779,1237,2542,32.733527388197935,87.79276082327893
CommentDensity,3779,1237,2542,32.733527388197935,87.79276082327893
NumberOfChildren,1139,298,841,26.163301141352065,21.149751596877216
ResponseForClass,5651,1409,4242,24.93364006370554,100.0
WeightedMethodCount,5651,1409,4242,24.93364006370554,100.0
CyclomaticComplexity,5651,1409,4242,24.93364006370554,100.0
DepthOfNesting,3189,1058,2131,33.176544371276265,75.0887154009936
OutDegree,5407,1400,4007,25.892361753282785,99.361249112846
OutDegreeDistinct,5407,1400,4007,25.892361753282785,99.361249112846
PatternSize,3189,1058,2131,33.176544371276265,75.0887154009936
NumberOfPatternVariables,2969,971,1998,32.70461434826541,68.91412349183818
