name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FanOut,2312,206,2106,8.910034602076125,100.0
FanIn,795,91,704,11.446540880503145,44.1747572815534
CouplingBetweenObjects,2312,206,2106,8.910034602076125,100.0
DepthOfInheritance,2035,187,1848,9.18918918918919,90.77669902912622
LackOfCohesionInMethods,2169,196,1973,9.036422314430613,95.14563106796116
LinesOfCode,2312,206,2106,8.910034602076125,100.0
SourceLinesOfCode,2312,206,2106,8.910034602076125,100.0
CommentLinesOfCode,722,99,623,13.71191135734072,48.05825242718447
CommentDensity,722,99,623,13.71191135734072,48.05825242718447
NumberOfChildren,190,21,169,11.052631578947368,10.194174757281553
ResponseForClass,2312,206,2106,8.910034602076125,100.0
WeightedMethodCount,2311,205,2106,8.870618779749027,99.51456310679612
CyclomaticComplexity,2312,206,2106,8.910034602076125,100.0
DepthOfNesting,233,46,187,19.742489270386265,22.330097087378643
OutDegree,2079,205,1874,9.86050986050986,99.51456310679612
OutDegreeDistinct,2079,205,1874,9.86050986050986,99.51456310679612
PatternSize,233,46,187,19.742489270386265,22.330097087378643
NumberOfPatternVariables,197,35,162,17.766497461928935,16.990291262135923
