name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FanOut,26,6,20,23.076923076923077,100.0
FanIn,17,3,14,17.647058823529413,50.0
CouplingBetweenObjects,26,6,20,23.076923076923077,100.0
DepthOfInheritance,15,4,11,26.666666666666668,66.66666666666666
LackOfCohesionInMethods,24,6,18,25.0,100.0
LinesOfCode,26,6,20,23.076923076923077,100.0
SourceLinesOfCode,26,6,20,23.076923076923077,100.0
CommentLinesOfCode,4,2,2,50.0,33.33333333333333
CommentDensity,4,2,2,50.0,33.33333333333333
NumberOfChildren,3,0,3,0.0,0.0
ResponseForClass,26,6,20,23.076923076923077,100.0
WeightedMethodCount,26,6,20,23.076923076923077,100.0
CyclomaticComplexity,26,6,20,23.076923076923077,100.0
DepthOfNesting,3,1,2,33.33333333333333,16.666666666666664
OutDegree,24,5,19,20.833333333333336,83.33333333333334
OutDegreeDistinct,24,5,19,20.833333333333336,83.33333333333334
PatternSize,3,1,2,33.33333333333333,16.666666666666664
NumberOfPatternVariables,2,0,2,0.0,0.0
