name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FanOut,1637,479,1158,29.26084300549786,100.0
FanIn,1355,405,950,29.88929889298893,84.55114822546973
CouplingBetweenObjects,1637,479,1158,29.26084300549786,100.0
DepthOfInheritance,1169,385,784,32.93413173652694,80.3757828810021
LackOfCohesionInMethods,1362,416,946,30.54331864904552,86.84759916492693
LinesOfCode,1637,479,1158,29.26084300549786,100.0
SourceLinesOfCode,1637,479,1158,29.26084300549786,100.0
CommentLinesOfCode,1182,413,769,34.940778341793575,86.22129436325679
CommentDensity,1182,413,769,34.940778341793575,86.22129436325679
NumberOfChildren,375,97,278,25.866666666666667,20.250521920668056
ResponseForClass,1637,479,1158,29.26084300549786,100.0
WeightedMethodCount,1637,479,1158,29.26084300549786,100.0
CyclomaticComplexity,1637,479,1158,29.26084300549786,100.0
DepthOfNesting,864,346,518,40.0462962962963,72.23382045929019
OutDegree,1552,469,1083,30.21907216494845,97.91231732776617
OutDegreeDistinct,1552,469,1083,30.21907216494845,97.91231732776617
PatternSize,864,346,518,40.0462962962963,72.23382045929019
NumberOfPatternVariables,803,322,481,40.099626400996264,67.22338204592901
