name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FanOut,146,15,131,10.273972602739725,100.0
FanIn,128,11,117,8.59375,73.33333333333333
CouplingBetweenObjects,146,15,131,10.273972602739725,100.0
DepthOfInheritance,87,13,74,14.942528735632186,86.66666666666667
LackOfCohesionInMethods,118,15,103,12.711864406779661,100.0
LinesOfCode,146,15,131,10.273972602739725,100.0
SourceLinesOfCode,146,15,131,10.273972602739725,100.0
CommentLinesOfCode,48,4,44,8.333333333333332,26.666666666666668
CommentDensity,48,4,44,8.333333333333332,26.666666666666668
NumberOfChildren,62,9,53,14.516129032258066,60.0
ResponseForClass,146,15,131,10.273972602739725,100.0
WeightedMethodCount,146,15,131,10.273972602739725,100.0
CyclomaticComplexity,146,15,131,10.273972602739725,100.0
DepthOfNesting,96,12,84,12.5,80.0
OutDegree,139,15,124,10.79136690647482,100.0
OutDegreeDistinct,139,15,124,10.79136690647482,100.0
PatternSize,96,12,84,12.5,80.0
NumberOfPatternVariables,94,12,82,12.76595744680851,80.0
