name,count,percentage_faulty mean,percentage_faulty std,percentage_total_faults mean,percentage_total_faults std
CommentDensity,7,33.190388183267665,22.51095389271649,54.15881627876727,31.222364703831115
CommentLinesOfCode,7,33.190388183267665,22.51095389271649,54.15881627876727,31.222364703831115
CouplingBetweenObjects,7,21.9203411705599,12.042710130431997,100.0,0.0
CyclomaticComplexity,7,21.863538352206366,12.014905962546894,100.0,0.0
DepthOfInheritance,7,19.119178231222357,12.17905201669474,51.95756568876425,19.269791645485302
DepthOfNesting,7,30.34317193011637,14.011506721542974,70.01167534177331,13.75335536465269
FanIn,7,24.627424242236486,14.611194447803337,80.26920173545692,14.403373124487466
FanOut,7,21.92151010754829,12.041226070153774,100.0,0.0
LackOfCohesionInMethods,7,20.01061781444138,14.301548353927375,65.92968466008247,28.58617012440426
LinesOfCode,7,21.863538352206366,12.014905962546894,100.0,0.0
NumberOfChildren,7,33.86772876839598,21.74833645444437,33.722874984093984,28.103767333724882
NumberOfPatternVariables,7,31.805835136361274,15.303598626028327,66.30086134017404,13.406490833530103
OutDegree,7,22.081885515931194,12.01822500436704,99.25634785711807,1.1989051686298233
OutDegreeDistinct,7,22.081885515931194,12.01822500436704,99.25634785711807,1.1989051686298233
PatternSize,7,30.34317193011637,14.011506721542974,70.01167534177331,13.75335536465269
ResponseForClass,7,21.863538352206366,12.014905962546894,100.0,0.0
SourceLinesOfCode,7,21.863538352206366,12.014905962546894,100.0,0.0
WeightedMethodCount,7,21.85180005818417,12.029169953459226,99.81447124304268,0.49086295196003793
