name,rows,faulty_rows,non_faulty_rows,percentage_faulty
AkkaNeutral,23547,566,22981,2.403703231834204
AkkaOOP,16157,622,15535,3.849724577582472
AkkaFP,11005,580,10425,5.270331667423898
AkkaMix,10792,978,9814,9.062268346923647
GitbucketNeutral,683,11,672,1.610541727672035
GitbucketOOP,248,13,235,5.241935483870968
GitbucketFP,1701,85,1616,4.997060552616108
GitbucketMix,642,72,570,11.214953271028037
Http4sNeutral,2532,148,2384,5.845181674565561
Http4sOOP,267,32,235,11.985018726591761
Http4sFP,1971,293,1678,14.865550481988837
Http4sMix,395,90,305,22.78481012658228
QuillNeutral,1106,63,1043,5.69620253164557
QuillOOP,57,8,49,14.035087719298245
QuillFP,1795,295,1500,16.434540389972145
QuillMix,70,7,63,10.0
ScioNeutral,3028,122,2906,4.0290620871862615
ScioOOP,906,67,839,7.39514348785872
ScioFP,3097,392,2705,12.657410397158541
ScioMix,839,87,752,10.369487485101311
ShapelessNeutral,4174,162,4012,3.881169142309535
ShapelessOOP,137,1,136,0.7299270072992701
ShapelessFP,3334,249,3085,7.468506298740252
ShapelessMix,169,29,140,17.159763313609467
ZIONeutral,4963,317,4646,6.387265766673384
ZIOOOP,666,39,627,5.8558558558558556
ZIOFP,12053,889,11164,7.375757072927902
ZIOMix,1468,102,1366,6.948228882833788
