name,rows,faulty_rows,non_faulty_rows,percentage_faulty
AkkaNeutral,5009,253,4756,5.050908364943103
AkkaOOP,408,36,372,8.823529411764707
AkkaFP,385,32,353,8.311688311688311
AkkaMix,1741,509,1232,29.236071223434806
GitbucketNeutral,403,20,383,4.962779156327544
GitbucketOOP,14,5,9,35.714285714285715
GitbucketFP,68,19,49,27.941176470588236
GitbucketMix,110,42,68,38.18181818181819
Http4sNeutral,919,37,882,4.026115342763874
Http4sOOP,9,0,9,0.0
Http4sFP,200,46,154,23.0
Http4sMix,317,78,239,24.605678233438486
QuillNeutral,650,19,631,2.923076923076923
QuillOOP,6,0,6,0.0
QuillFP,235,29,206,12.340425531914894
QuillMix,163,19,144,11.65644171779141
ScioNeutral,751,54,697,7.1904127829560585
ScioOOP,78,14,64,17.94871794871795
ScioFP,147,21,126,14.285714285714285
ScioMix,418,105,313,25.11961722488038
ShapelessNeutral,1549,66,1483,4.260813428018076
ShapelessOOP,6,0,6,0.0
ShapelessFP,398,35,363,8.793969849246231
ShapelessMix,420,82,338,19.523809523809526
ZIONeutral,417,30,387,7.194244604316546
ZIOOOP,26,3,23,11.538461538461538
ZIOFP,155,12,143,7.741935483870968
ZIOMix,310,46,264,14.838709677419354
