name,tn,fp,fn,tp,r2,precision,recall,mcc
AkkaNeutral,11115,1751,274,308,-2.636773017991958,14.958717824186499,52.92096219931272,0.22214234154046147
AkkaOOP,1707,399,99,107,-1.6539429646225763,21.14624505928854,51.94174757281553,0.22734654553555214
AkkaFP,776,207,49,46,-1.9551641055844096,18.181818181818183,48.421052631578945,0.18302739501003623
AkkaMix,3319,923,529,880,-0.3728094699361453,48.807542983915695,62.45564229950319,0.37773587543354337
GitbucketNeutral,883,157,11,22,-4.252447552447552,12.290502793296088,66.66666666666666,0.2388250155973591
GitbucketOOP,31,4,1,9,0.3571428571428572,69.23076923076923,90.0,0.7206958252463188
GitbucketFP,148,14,12,52,0.43325617283950635,78.78787878787878,81.25,0.7194492381832676
GitbucketMix,132,18,35,112,0.28612244897959194,86.15384615384616,76.19047619047619,0.6469116654550979
Http4sNeutral,896,323,46,58,-2.8507840600744614,15.223097112860891,55.769230769230774,0.173974057604858
Http4sFP,165,33,35,76,0.043953043953044,69.72477064220183,68.46846846846847,0.5201285627565455
Http4sMix,217,81,54,122,-0.22006558877364224,60.09852216748769,69.31818181818183,0.41142923040633467
QuillNeutral,525,124,31,37,-1.51824073234841,22.981366459627328,54.41176470588235,0.24789524076250494
QuillFP,185,57,40,83,-0.18944433245985381,59.285714285714285,67.47967479674797,0.4269983353502446
QuillMix,132,18,12,50,0.3161290322580643,73.52941176470588,80.64516129032258,0.6689839549210497
ScioNeutral,920,155,36,38,-1.7587554996857322,19.689119170984455,51.35135135135135,0.24250689933744846
ScioOOP,163,29,8,12,-1.0427083333333331,29.268292682926827,60.0,0.332262758052889
ScioFP,164,36,23,50,-0.10321917808219161,58.139534883720934,68.4931506849315,0.4811038914720763
ScioMix,423,95,76,124,-0.18511583011583,56.62100456621004,62.0,0.42510242578183016
ShapelessNeutral,1960,670,59,64,-5.204015580079756,8.71934604904632,52.03252032520326,0.12407866143344155
ShapelessFP,554,155,44,37,-1.7374671333298504,19.270833333333336,45.67901234567901,0.1684440853520281
ShapelessMix,713,104,48,78,-0.39239571797711337,42.857142857142854,61.904761904761905,0.423950328667715
ZIONeutral,731,718,23,101,-5.487193615173978,12.332112332112333,81.45161290322581,0.17207223195908125
ZIOFP,634,117,22,55,-0.9902813564597854,31.976744186046513,71.42857142857143,0.3998225292691748
ZIOMix,506,155,74,106,-0.6186670028576229,40.61302681992337,58.88888888888889,0.3141891415732605
