name,tn,fp,fn,tp,r2,precision,recall,mcc
CyclomaticComplexity,617,565,41,21,-9.286883903717046,3.583617747440273,33.87096774193548,-0.06072595082259647
DepthOfNesting,728,454,40,22,-7.385677637683532,4.621848739495799,35.483870967741936,-0.013098938756583484
LinesOfCode,895,287,43,19,-4.601768462420173,6.209150326797386,30.64516129032258,0.032158206992237634
SourceLinesOfCode,809,373,44,18,-6.078598329785492,4.603580562659847,29.03225806451613,-0.011833255754220664
CommentLinesOfCode,89,1093,2,60,-17.58768626166694,5.203816131830009,96.7741935483871,0.035968452744128104
CommentDensity,89,1093,2,60,-17.58768626166694,5.203816131830009,96.7741935483871,0.035968452744128104
OutDegree,311,871,14,48,-14.0229245128541,5.223068552774755,77.41935483870968,0.01847968189179181
OutDegreeDistinct,770,412,44,18,-6.740625511707876,4.186046511627907,29.03225806451613,-0.026648538605805645
PatternSize,288,894,14,48,-14.41335079962884,5.095541401273886,77.41935483870968,0.009058874396304303
NumberOfPatternVariables,279,903,13,49,-14.549151247202662,5.147058823529411,79.03225806451613,0.013536071481846651
