name,tn,fp,fn,tp,r2,precision,recall,mcc
CyclomaticComplexity,759,241,72,24,-2.5734166666666667,9.056603773584905,25.0,0.005942301416188551
DepthOfNesting,726,274,70,26,-2.9273333333333333,8.666666666666668,27.083333333333332,-0.002007801645669431
LinesOfCode,739,261,66,30,-2.73325,10.309278350515463,31.25,0.032968441001482905
SourceLinesOfCode,732,268,66,30,-2.813166666666667,10.06711409395973,31.25,0.02827392162386625
CommentLinesOfCode,933,67,80,16,-0.67825,19.27710843373494,16.666666666666664,0.10649808075687828
CommentDensity,933,67,80,16,-0.67825,19.27710843373494,16.666666666666664,0.10649808075687828
OutDegree,689,311,73,23,-3.3840000000000003,6.88622754491018,23.958333333333336,-0.04386160033644289
OutDegreeDistinct,762,238,59,37,-2.39075,13.454545454545455,38.54166666666667,0.09612675412533173
PatternSize,217,783,23,73,-8.201833333333333,8.528037383177569,76.04166666666666,-0.015437648851973644
NumberOfPatternVariables,397,603,48,48,-6.432250000000001,7.373271889400922,50.0,-0.05929285212795563
