name,tn,fp,fn,tp,r2,precision,recall,mcc
CyclomaticComplexity,241,115,11,23,-3.059814937210839,16.666666666666664,67.64705882352942,0.20851461913913294
DepthOfNesting,320,36,24,10,-0.9332452081956375,21.73913043478261,29.411764705882355,0.168791372194698
LinesOfCode,285,71,19,15,-1.8998678122934565,17.441860465116278,44.11764705882353,0.1644840712151728
SourceLinesOfCode,271,85,15,19,-2.2220753469927295,18.269230769230766,55.88235294117647,0.20417166605160955
CommentLinesOfCode,326,30,22,12,-0.6754791804362192,28.57142857142857,35.294117647058826,0.24449603032335412
CommentDensity,314,42,23,11,-1.094348975545274,20.754716981132077,32.35294117647059,0.16921273040716706
OutDegree,294,62,18,16,-1.5776602775941835,20.51282051282051,47.05882352941176,0.20905635717642201
OutDegreeDistinct,277,79,14,20,-1.9965300727032385,20.2020202020202,58.82352941176471,0.23744724744239526
PatternSize,319,37,24,10,-0.965465961665565,21.27659574468085,29.411764705882355,0.16479531951846535
NumberOfPatternVariables,319,37,24,10,-0.965465961665565,21.27659574468085,29.411764705882355,0.16479531951846535
