name,tn,fp,fn,tp,r2,precision,recall,mcc
CyclomaticComplexity,34,12,7,9,-0.6005434782608701,42.857142857142854,56.25,0.27887686749922064
DepthOfNesting,29,17,8,8,-1.1059782608695659,32.0,50.0,0.11634867973529271
LinesOfCode,34,12,8,8,-0.6847826086956528,40.0,50.0,0.2238381550780319
SourceLinesOfCode,33,13,6,10,-0.6005434782608701,43.47826086956522,62.5,0.31014544848308495
CommentLinesOfCode,10,36,7,9,-2.622282608695653,20.0,56.25,-0.21589639458993043
CommentDensity,11,35,7,9,-2.5380434782608705,20.454545454545457,56.25,-0.19122794492800416
OutDegree,34,12,6,10,-0.5163043478260874,45.45454545454545,62.5,0.3330079109791591
OutDegreeDistinct,33,13,5,11,-0.5163043478260874,45.83333333333333,68.75,0.36373068269628606
PatternSize,35,11,8,8,-0.6005434782608701,42.10526315789473,50.0,0.2476003722433672
NumberOfPatternVariables,35,11,7,9,-0.5163043478260874,45.0,56.25,0.3026902324350659
