name,tn,fp,fn,tp,r2,precision,recall,mcc
CyclomaticComplexity,7923,2502,388,192,-4.25997684610932,7.126948775055679,33.10344827586207,0.04730777479586792
DepthOfNesting,8047,2378,409,171,-4.072510543289507,6.708513142408788,29.48275862068965,0.035338990501907336
LinesOfCode,8495,1930,314,266,-3.0842173158025306,12.112932604735883,45.86206896551724,0.15290162243431232
SourceLinesOfCode,8297,2128,349,231,-3.508291573637642,9.792284866468842,39.827586206896555,0.10571106211054042
CommentLinesOfCode,9127,1298,386,194,-2.0649830480443234,13.002680965147453,33.44827586206897,0.13704877118839895
CommentDensity,9261,1164,408,172,-1.861136194492682,12.874251497005988,29.655172413793103,0.1264992633762342
OutDegree,8190,2235,349,231,-3.7030381212271566,9.367396593673966,39.827586206896555,0.09853803418098693
OutDegreeDistinct,7420,3005,328,252,-5.066263954353759,7.737181455326988,43.44827586206896,0.07158051137029459
PatternSize,7922,2503,393,187,-4.270897213263872,6.951672862453531,32.241379310344826,0.04279951871847389
NumberOfPatternVariables,8078,2347,409,171,-4.01608864632432,6.791104050833995,29.48275862068965,0.03707259590952318
