name,tn,fp,fn,tp,r2,precision,recall,mcc
CyclomaticComplexity,2289,95,130,18,-0.6146494649011427,15.929203539823009,12.162162162162163,0.09290407943540495
DepthOfNesting,2381,3,145,3,-0.062080536912751505,50.0,2.027027027027027,0.09173113611608537
LinesOfCode,1951,433,85,63,-2.7172818791946307,12.701612903225806,42.567567567567565,0.14425464084755774
SourceLinesOfCode,1952,432,85,63,-2.7101056593506256,12.727272727272727,42.567567567567565,0.14461296058375916
CommentLinesOfCode,2106,278,134,14,-1.9566025757300922,4.794520547945205,9.45945945945946,-0.01616999176673809
CommentDensity,1871,513,121,27,-3.54972338109922,5.0,18.243243243243242,-0.01875780440488989
OutDegree,1825,559,96,52,-3.700423997823326,8.51063829787234,35.13513513513514,0.06407789849840709
OutDegreeDistinct,1619,765,79,69,-5.056729548340286,8.273381294964029,46.62162162162162,0.07254012295320686
PatternSize,2381,3,145,3,-0.062080536912751505,50.0,2.027027027027027,0.09173113611608537
NumberOfPatternVariables,2383,1,145,3,-0.04772809722474136,75.0,2.027027027027027,0.11725830814784928
