name,tn,fp,fn,tp,r2,precision,recall,mcc
CyclomaticComplexity,93,47,11,18,-1.4142857142857141,27.692307692307693,62.06896551724138,0.220849791808532
DepthOfNesting,90,50,12,17,-1.5807881773399015,25.37313432835821,58.620689655172406,0.17655598516755236
LinesOfCode,114,26,16,13,-0.7482758620689653,33.33333333333333,44.827586206896555,0.23495798457511363
SourceLinesOfCode,109,31,17,12,-0.9980295566502462,27.906976744186046,41.37931034482759,0.16652081076697864
CommentLinesOfCode,58,82,18,11,-3.1625615763546797,11.827956989247312,37.93103448275862,-0.1564345695235808
CommentDensity,60,80,9,20,-2.7046798029556647,20.0,68.96551724137932,0.09068880415449275
OutDegree,113,27,12,17,-0.623399014778325,38.63636363636363,58.620689655172406,0.3379563061188522
OutDegreeDistinct,109,31,9,20,-0.6650246305418719,39.21568627450981,68.96551724137932,0.38458559062442343
PatternSize,104,36,16,13,-1.1645320197044335,26.53061224489796,44.827586206896555,0.15882177354554722
NumberOfPatternVariables,120,20,14,15,-0.41527093596059106,42.857142857142854,51.724137931034484,0.3483326227596974
