name,tn,fp,fn,tp,r2,precision,recall,mcc
FanOut,298,72,19,25,-1.3141277641277642,25.773195876288657,56.81818181818182,0.2718339634051002
FanIn,264,106,29,15,-2.433046683046683,12.396694214876034,34.090909090909086,0.03687907557063361
CouplingBetweenObjects,300,70,19,25,-1.2632678132678135,26.31578947368421,56.81818181818182,0.2777799015054904
DepthOfInheritance,195,175,27,17,-4.136855036855037,8.854166666666668,38.63636363636363,-0.0535260025942101
LackOfCohesionInMethods,145,225,21,23,-5.255773955773956,9.274193548387096,52.27272727272727,-0.05369176930972796
LinesOfCode,322,48,26,18,-0.8818181818181818,27.27272727272727,40.909090909090914,0.23519693939744693
SourceLinesOfCode,315,55,24,20,-1.0089680589680587,26.666666666666668,45.45454545454545,0.24477759402269555
CommentLinesOfCode,329,41,30,14,-0.8055282555282555,25.454545454545453,31.818181818181817,0.18829841685486678
CommentDensity,261,109,29,15,-2.5093366093366094,12.096774193548388,34.090909090909086,0.031162644409521434
NumberOfChildren,330,40,35,9,-0.9072481572481572,18.367346938775512,20.454545454545457,0.09200850622107136
ResponseForClass,309,61,21,23,-1.0852579852579853,27.380952380952383,52.27272727272727,0.27425001944871147
WeightedMethodCount,310,60,32,12,-1.3395577395577396,16.666666666666664,27.27272727272727,0.08990130657754751
CyclomaticComplexity,264,106,31,13,-2.483906633906634,10.92436974789916,29.545454545454547,0.006107186278222296
DepthOfNesting,244,126,32,12,-3.0179361179361175,8.695652173913043,27.27272727272727,-0.04433510985214727
OutDegree,295,75,29,15,-1.6447174447174446,16.666666666666664,34.090909090909086,0.10326699939512701
OutDegreeDistinct,289,81,28,16,-1.771867321867322,16.49484536082474,36.36363636363637,0.10530102232529037
PatternSize,276,94,30,14,-2.153316953316953,12.962962962962962,31.818181818181817,0.04500913922813797
NumberOfPatternVariables,260,110,31,13,-2.5856265356265355,10.569105691056912,29.545454545454547,-0.0012427821424063307
