name,tn,fp,fn,tp,r2,precision,recall,mcc
FanOut,113,41,24,22,-0.8351214003387915,34.92063492063492,47.82608695652174,0.19208793956654124
FanIn,44,110,10,36,-2.387916431394692,24.65753424657534,78.26086956521739,0.06476386779651358
CouplingBetweenObjects,106,48,23,23,-1.004517221908526,32.3943661971831,50.0,0.16561227528230815
DepthOfInheritance,44,110,5,41,-2.2467532467532467,27.1523178807947,89.13043478260869,0.17320951537272558
LackOfCohesionInMethods,63,91,6,40,-1.7385657820440428,30.53435114503817,86.95652173913044,0.246687803969001
LinesOfCode,121,33,24,22,-0.6092603049124787,40.0,47.82608695652174,0.24879232829261996
SourceLinesOfCode,124,30,28,18,-0.6374929418407678,37.5,39.130434782608695,0.1936232681891543
CommentLinesOfCode,124,30,28,18,-0.6374929418407678,37.5,39.130434782608695,0.1936232681891543
CommentDensity,124,30,29,17,-0.665725578769057,36.17021276595745,36.95652173913043,0.17345496036077887
NumberOfChildren,30,124,4,42,-2.613777526821005,25.301204819277107,91.30434782608695,0.12082605051508812
ResponseForClass,109,45,25,21,-0.9762845849802371,31.818181818181817,45.65217391304348,0.14705823088846087
WeightedMethodCount,63,91,6,40,-1.7385657820440428,30.53435114503817,86.95652173913044,0.246687803969001
CyclomaticComplexity,109,45,29,17,-1.0892151326933934,27.419354838709676,36.95652173913043,0.0703891781140959
DepthOfNesting,108,46,30,16,-1.1456804065499715,25.806451612903224,34.78260869565217,0.04469969705055724
OutDegree,116,38,26,20,-0.8068887634105024,34.48275862068966,43.47826086956522,0.17438405796704975
OutDegreeDistinct,105,49,29,17,-1.20214568040655,25.757575757575758,36.95652173913043,0.045987281824226595
PatternSize,44,110,17,29,-2.585544889892716,20.863309352517987,63.04347826086957,-0.0766434156587118
NumberOfPatternVariables,83,71,35,11,-1.9926595143986447,13.414634146341465,23.91304347826087,-0.189873928298973
