name,tn,fp,fn,tp,r2,precision,recall,mcc
FanOut,122,21,6,6,-1.4388111888111883,22.22222222222222,50.0,0.24884396664540562
FanIn,105,38,7,5,-3.0646853146853132,11.627906976744185,41.66666666666667,0.09009441780660496
CouplingBetweenObjects,124,19,6,6,-1.2581585081585076,24.0,50.0,0.2667719892421566
DepthOfInheritance,75,68,2,10,-5.322843822843821,12.82051282051282,83.33333333333334,0.1912568794105228
LackOfCohesionInMethods,84,59,9,3,-5.14219114219114,4.838709677419355,25.0,-0.08869685939836239
LinesOfCode,128,15,6,6,-0.8968531468531464,28.57142857142857,50.0,0.3085382454853729
SourceLinesOfCode,127,16,6,6,-0.9871794871794866,27.27272727272727,50.0,0.2972202714743671
CommentLinesOfCode,134,9,8,4,-0.535547785547785,30.76923076923077,33.33333333333333,0.2607014762736111
CommentDensity,121,22,7,5,-1.6194638694638686,18.51851851851852,41.66666666666667,0.1851957573549141
NumberOfChildren,119,24,12,0,-2.2517482517482508,0.0,0.0,-0.12399168939110869
ResponseForClass,127,16,6,6,-0.9871794871794866,27.27272727272727,50.0,0.2972202714743671
WeightedMethodCount,127,16,9,3,-1.2581585081585076,15.789473684210526,25.0,0.11254946879781731
CyclomaticComplexity,122,21,7,5,-1.5291375291375284,19.230769230769234,41.66666666666667,0.19299267249805796
DepthOfNesting,122,21,7,5,-1.5291375291375284,19.230769230769234,41.66666666666667,0.19299267249805796
OutDegree,116,27,8,4,-2.1614219114219106,12.903225806451612,33.33333333333333,0.09656090991705352
OutDegreeDistinct,106,37,7,5,-2.974358974358973,11.904761904761903,41.66666666666667,0.09496132859832129
PatternSize,124,19,8,4,-1.4388111888111883,17.391304347826086,33.33333333333333,0.1507123762093838
NumberOfPatternVariables,126,17,8,4,-1.2581585081585076,19.047619047619047,33.33333333333333,0.1674661863401434
