name,tn,fp,fn,tp,r2,precision,recall,mcc
FanOut,3706,886,607,888,-0.32379286937876506,50.05636978579482,59.39799331103679,0.3798726399976633
FanIn,3973,619,1169,326,-0.5853594443732297,34.4973544973545,21.80602006688963,0.0989643704598795
CouplingBetweenObjects,3782,810,696,799,-0.3353195320056399,49.65817277812305,53.4448160535117,0.34950269066064743
DepthOfInheritance,2139,2453,650,845,-1.7513257023994027,25.621588841722254,56.52173913043478,0.026805176994306974
LackOfCohesionInMethods,3771,821,909,586,-0.5339327957302502,41.64889836531628,39.197324414715716,0.2176738507613154
LinesOfCode,3958,634,700,795,-0.18281291878852834,55.6333100069979,53.17725752508361,0.3998325295857531
SourceLinesOfCode,3834,758,644,851,-0.2431062309906422,52.8899937849596,56.92307692307692,0.39450813384330247
CommentLinesOfCode,4083,509,948,547,-0.29187288056588123,51.79924242424242,36.58862876254181,0.28991654443922166
CommentDensity,3455,1137,936,559,-0.8380593558085601,32.95990566037736,37.391304347826086,0.1212717148549558
NumberOfChildren,2289,2303,763,732,-1.7185190472306053,24.118616144975288,48.96321070234114,-0.010238000991366484
ResponseForClass,3741,851,642,853,-0.32379286937876506,50.058685446009385,57.056856187290975,0.3693511361114942
WeightedMethodCount,3745,847,786,709,-0.4479261592066466,45.56555269922879,47.424749163879596,0.28596475055202913
CyclomaticComplexity,3557,1035,1025,470,-0.8265326931816852,31.22923588039867,31.438127090301005,0.08878987819803509
DepthOfNesting,3192,1400,824,671,-0.9719459755514894,32.39980685659102,44.88294314381271,0.13078275301751452
OutDegree,3591,1001,1069,426,-0.8353993567408198,29.852838121934127,28.494983277591974,0.06803700515072458
OutDegreeDistinct,3421,1171,974,521,-0.9018993334343277,30.791962174940895,34.8494983277592,0.08982345599779645
PatternSize,3535,1057,1013,482,-0.8353993567408198,31.319038336582196,32.240802675585286,0.09133582008416888
NumberOfPatternVariables,3628,964,1044,451,-0.7804260426741865,31.872791519434628,30.16722408026756,0.0934888371981967
