name,tn,fp,fn,tp,r2,precision,recall,mcc
FanOut,574,75,49,19,-1.0145925858787281,20.212765957446805,27.941176470588236,0.1422373350053261
FanIn,264,385,16,52,-5.51493247530137,11.899313501144166,76.47058823529412,0.10298751627198763
CouplingBetweenObjects,545,104,51,17,-1.51824073234841,14.049586776859504,25.0,0.070212142020681
DepthOfInheritance,377,272,25,43,-3.8252741774675982,13.65079365079365,63.23529411764706,0.12588983526049552
LackOfCohesionInMethods,412,237,43,25,-3.5490800326293854,9.541984732824428,36.76470588235294,0.0015027728810126687
LinesOfCode,588,61,51,17,-0.8196320130517543,21.794871794871796,25.0,0.14680113366602907
SourceLinesOfCode,592,57,51,17,-0.7546451554427631,22.972972972972975,25.0,0.15618267832648672
CommentLinesOfCode,14,635,0,68,-9.316663645427356,9.672830725462305,100.0,0.045679197262029736
CommentDensity,14,635,0,68,-9.316663645427356,9.672830725462305,100.0,0.045679197262029736
NumberOfChildren,425,224,44,24,-3.354119459802412,9.67741935483871,35.294117647058826,0.004801416449892246
ResponseForClass,520,129,43,25,-1.7944348771866228,16.233766233766232,36.76470588235294,0.12048688003762013
WeightedMethodCount,268,381,26,42,-5.612412761714857,9.929078014184398,61.76470588235294,0.018222716338946378
CyclomaticComplexity,273,376,33,35,-5.644906190519353,8.51581508515815,51.470588235294116,-0.03829511188550362
DepthOfNesting,3,646,0,68,-9.495377503852083,9.523809523809524,100.0,0.020981842825960773
OutDegree,541,108,50,18,-1.5669808755551533,14.285714285714285,26.47058823529412,0.07567174168190091
OutDegreeDistinct,540,109,50,18,-1.583227589957401,14.173228346456693,26.47058823529412,0.07425457281983397
PatternSize,3,646,0,68,-9.495377503852083,9.523809523809524,100.0,0.020981842825960773
NumberOfPatternVariables,3,646,0,68,-9.495377503852083,9.523809523809524,100.0,0.020981842825960773
