name,tn,fp,fn,tp,r2,precision,recall,mcc
FanOut,298,72,19,25,-1.3141277641277642,25.773195876288657,56.81818181818182,0.2718339634051002
FanIn,264,106,29,15,-2.433046683046683,12.396694214876034,34.090909090909086,0.03687907557063361
CouplingBetweenObjects,300,70,19,25,-1.2632678132678135,26.31578947368421,56.81818181818182,0.2777799015054904
DepthOfInheritance,195,175,27,17,-4.136855036855037,8.854166666666668,38.63636363636363,-0.0535260025942101
LackOfCohesionInMethods,145,225,21,23,-5.255773955773956,9.274193548387096,52.27272727272727,-0.05369176930972796
LinesOfCode,322,48,26,18,-0.8818181818181818,27.27272727272727,40.909090909090914,0.23519693939744693
SourceLinesOfCode,315,55,24,20,-1.0089680589680587,26.666666666666668,45.45454545454545,0.24477759402269555
CommentLinesOfCode,329,41,30,14,-0.8055282555282555,25.454545454545453,31.818181818181817,0.18829841685486678
CommentDensity,261,109,29,15,-2.5093366093366094,12.096774193548388,34.090909090909086,0.031162644409521434
NumberOfChildren,330,40,35,9,-0.9072481572481572,18.367346938775512,20.454545454545457,0.09200850622107136
ResponseForClass,309,61,21,23,-1.0852579852579853,27.380952380952383,52.27272727272727,0.27425001944871147
WeightedMethodCount,307,63,26,18,-1.2632678132678135,22.22222222222222,40.909090909090914,0.18553866601535848
CyclomaticComplexity,254,116,24,20,-2.56019656019656,14.705882352941178,45.45454545454545,0.09254497262716462
DepthOfNesting,271,99,25,19,-2.153316953316953,16.101694915254235,43.18181818181818,0.11213658951285231
OutDegree,303,67,28,16,-1.4158476658476657,19.27710843373494,36.36363636363637,0.14052984321667394
OutDegreeDistinct,306,64,25,19,-1.2632678132678135,22.89156626506024,43.18181818181818,0.19925732143844682
PatternSize,267,103,23,21,-2.204176904176904,16.93548387096774,47.72727272727273,0.13382578593903238
NumberOfPatternVariables,264,106,23,21,-2.2804668304668305,16.535433070866144,47.72727272727273,0.12750624092136348
