name,tn,fp,fn,tp,r2,precision,recall,mcc
FanOut,53,16,6,11,-0.6129582267689682,40.74074074074074,64.70588235294117,0.3562641046442453
FanIn,29,40,5,12,-2.2992327365728897,23.076923076923077,70.58823529411765,0.10277123583556334
CouplingBetweenObjects,52,17,7,10,-0.7595907928388743,37.03703703703704,58.82352941176471,0.29335093626764347
DepthOfInheritance,28,41,4,13,-2.2992327365728897,24.074074074074073,76.47058823529412,0.1404782603956038
LackOfCohesionInMethods,51,18,6,11,-0.7595907928388743,37.93103448275862,64.70588235294117,0.3253215023082439
LinesOfCode,55,14,5,12,-0.3930093776641088,46.15384615384615,70.58823529411765,0.4361548502566593
SourceLinesOfCode,56,13,5,12,-0.31969309462915585,48.0,70.58823529411765,0.45384208230249556
CommentLinesOfCode,57,12,12,5,-0.7595907928388743,29.411764705882355,29.411764705882355,0.12020460358056266
CommentDensity,23,46,11,6,-3.179028132992327,11.538461538461538,35.294117647058826,-0.255539289104644
NumberOfChildren,9,60,2,15,-3.545609548167092,20.0,88.23529411764706,0.015248084103296531
ResponseForClass,50,19,6,11,-0.8329070758738275,36.666666666666664,64.70588235294117,0.3105866914140563
WeightedMethodCount,56,13,5,12,-0.31969309462915585,48.0,70.58823529411765,0.45384208230249556
CyclomaticComplexity,54,15,9,8,-0.7595907928388743,34.78260869565217,47.05882352941176,0.22781024468900588
DepthOfNesting,55,14,8,9,-0.6129582267689682,39.130434782608695,52.94117647058824,0.29377550072689984
OutDegree,56,13,8,9,-0.5396419437340152,40.909090909090914,52.94117647058824,0.31125021340100073
OutDegreeDistinct,50,19,9,8,-1.0528559249786866,29.629629629629626,47.05882352941176,0.1675245995144398
PatternSize,56,13,8,9,-0.5396419437340152,40.909090909090914,52.94117647058824,0.31125021340100073
NumberOfPatternVariables,60,9,11,6,-0.466325660699062,40.0,35.294117647058826,0.23351602934385504
