name,tn,fp,fn,tp,r2,precision,recall,mcc
FanOut,2118,443,368,610,-0.14591652832442636,57.92972459639126,62.372188139059304,0.44089792170327985
FanIn,2225,336,755,223,-0.5415473889049929,39.89266547406082,22.801635991820042,0.11871744347650252
CouplingBetweenObjects,2132,429,416,562,-0.1939574185377808,56.71039354187689,57.46421267893661,0.40548069443033213
DepthOfInheritance,962,1599,324,654,-1.7171362317729617,29.027962716378163,66.87116564417178,0.041231515238290196
LackOfCohesionInMethods,2083,478,491,487,-0.3691653710806031,50.46632124352332,49.79550102249489,0.3126066414193994
LinesOfCode,2233,328,406,572,-0.03711804166477073,63.55555555555556,58.48670756646217,0.4690853350735559
SourceLinesOfCode,2174,387,390,588,-0.09787563811107192,60.30769230769231,60.122699386503065,0.45054228945579694
CommentLinesOfCode,2260,301,569,409,-0.22928160251818874,57.605633802816904,41.8200408997955,0.3357500290889922
CommentDensity,1786,775,559,419,-0.884898457194556,35.09212730318258,42.84253578732106,0.11899069575799003
NumberOfChildren,2095,466,758,220,-0.7294720476807619,32.06997084548105,22.494887525562373,0.04863127095646101
ResponseForClass,2133,428,376,602,-0.13602575680991236,58.44660194174758,61.554192229038854,0.44145857967395047
WeightedMethodCount,2183,378,481,497,-0.21373896156680927,56.8,50.81799591002045,0.37377165029250514
CyclomaticComplexity,1960,601,503,475,-0.5599159645748049,44.1449814126394,48.56850715746421,0.24402191432127054
DepthOfNesting,1640,921,361,617,-0.8114241545153078,40.11703511053316,63.0879345603272,0.2447084547542881
OutDegree,2081,480,453,525,-0.31829854614881614,52.23880597014925,53.68098159509203,0.34648918764545555
OutDegreeDistinct,2061,500,447,531,-0.3380800891778444,51.50339476236664,54.29447852760736,0.34221298708285114
PatternSize,2015,546,545,433,-0.5415473889049929,44.2288049029622,44.27402862985685,0.22946985895643288
NumberOfPatternVariables,1821,740,421,557,-0.6404551040501345,42.94525828835775,56.95296523517383,0.26040131401907357
