name,tn,fp,fn,tp,r2,precision,recall,mcc
FanOut,612,49,94,86,-0.010783324928559157,63.70370370370371,47.77777777777778,0.45099341366706475
FanIn,610,51,121,59,-0.21576735585812723,53.63636363636364,32.77777777777778,0.3048604326644031
CouplingBetweenObjects,609,52,95,85,-0.03905698436712024,62.04379562043796,47.22222222222222,0.4371134707820886
DepthOfInheritance,299,362,71,109,-2.060623634224239,23.142250530785564,60.55555555555555,0.04784184138434331
LackOfCohesionInMethods,602,59,141,39,-0.4136829719280548,39.795918367346935,21.666666666666668,0.16286438585248073
LinesOfCode,605,56,95,85,-0.06733064380568154,60.28368794326241,47.22222222222222,0.425453859520399
SourceLinesOfCode,602,59,90,90,-0.05319381408640078,60.40268456375839,50.0,0.4412240485766139
CommentLinesOfCode,615,46,103,77,-0.05319381408640078,62.601626016260155,42.77777777777778,0.415748905337711
CommentDensity,543,118,93,87,-0.4914355353840978,42.4390243902439,48.333333333333336,0.2911851089717093
NumberOfChildren,621,40,139,41,-0.2652462598756091,50.617283950617285,22.77777777777778,0.23253515091733987
ResponseForClass,603,58,90,90,-0.04612539922676051,60.810810810810814,50.0,0.44402206721314835
WeightedMethodCount,613,48,132,48,-0.2723146747352494,50.0,26.666666666666668,0.25028543578297346
CyclomaticComplexity,514,147,87,93,-0.6540090771558242,38.75,51.66666666666667,0.26726955134823
DepthOfNesting,525,136,86,94,-0.569188098840141,40.869565217391305,52.22222222222223,0.291198821377933
OutDegree,520,141,92,88,-0.646940662296184,38.427947598253276,48.888888888888886,0.25391273991465935
OutDegreeDistinct,512,149,80,100,-0.6186670028576229,40.16064257028113,55.55555555555556,0.296601928114303
PatternSize,552,109,94,86,-0.4348882165069756,44.1025641025641,47.77777777777778,0.30407157667960966
NumberOfPatternVariables,488,173,77,103,-0.7671037149100686,37.31884057971014,57.22222222222222,0.2712166907979017
