name,tn,fp,fn,tp,r2,precision,recall,mcc
FanOut,3277,561,300,517,-0.278191160609329,47.95918367346938,63.28029375764994,0.43882996032276567
FanIn,3407,431,636,181,-0.584006931904941,29.575163398692812,22.15422276621787,0.12297990252302617
CouplingBetweenObjects,3259,579,340,477,-0.3642946301974139,45.17045454545455,58.3843329253366,0.39328916709100054
DepthOfInheritance,2746,1092,528,289,-1.4049589781499572,20.926864590876175,35.37331701346389,0.0576362964526055
LackOfCohesionInMethods,3221,617,439,378,-0.5676769635347869,37.98994974874372,46.266829865361075,0.2801465714689257
LinesOfCode,3323,515,333,484,-0.25889210708096533,48.44844844844845,59.241126070991434,0.42457865005939477
SourceLinesOfCode,3303,535,320,497,-0.2692839051346996,48.15891472868217,60.83231334149327,0.4294328929290709
CommentLinesOfCode,3438,400,479,338,-0.3049129270332176,45.799457994579946,41.37086903304773,0.32233094326018646
CommentDensity,3008,830,447,370,-0.8957608735169724,30.833333333333336,45.28763769889841,0.20577683199313165
NumberOfChildren,441,3397,167,650,-4.290909751929906,16.061279960464542,79.5593635250918,-0.10103726781552336
ResponseForClass,3229,609,302,515,-0.35241828956457466,45.81850533807829,63.035495716034276,0.41925440854330703
WeightedMethodCount,3272,566,363,454,-0.379140055988463,44.509803921568626,55.569155446756426,0.3754087071714037
CyclomaticComplexity,3285,553,367,450,-0.36577917277651895,44.8654037886341,55.079559363525085,0.37629864521556333
DepthOfNesting,3364,474,422,395,-0.3301501508780009,45.45454545454545,48.34761321909425,0.3514267582245985
OutDegree,3323,515,363,454,-0.3034283844541126,46.85242518059856,55.569155446756426,0.3949379220358302
OutDegreeDistinct,3304,534,360,457,-0.3271810657197911,46.115035317860745,55.93635250917993,0.39051212038709293
PatternSize,3319,519,424,393,-0.39992365209593195,43.09210526315789,48.10281517747858,0.3314232848126881
NumberOfPatternVariables,3345,493,454,363,-0.4058618224123516,42.40654205607476,44.430844553243574,0.31015678740323155
