name,tn,fp,fn,tp,r2,precision,recall,mcc
FanOut,283,75,21,39,-0.8681564245810052,34.21052631578947,65.0,0.3467980028036542
FanIn,295,63,43,17,-1.0627560521415265,21.25,28.333333333333332,0.09568388949200478
CouplingBetweenObjects,284,74,20,40,-0.829236499068901,35.08771929824561,66.66666666666666,0.3621183965018076
DepthOfInheritance,215,143,31,29,-2.386033519553072,16.86046511627907,48.333333333333336,0.059773112521901504
LackOfCohesionInMethods,276,82,38,22,-1.3351955307262564,21.153846153846153,36.666666666666664,0.11161069115224286
LinesOfCode,307,51,29,31,-0.556797020484171,37.80487804878049,51.66666666666667,0.330410848670251
SourceLinesOfCode,305,53,30,30,-0.6151769087523273,36.144578313253014,50.0,0.3093450758233652
CommentLinesOfCode,322,36,28,32,-0.24543761638733685,47.05882352941176,53.333333333333336,0.41114072559495113
CommentDensity,284,74,25,35,-0.9265363128491615,32.11009174311927,58.333333333333336,0.3007730324086443
NumberOfChildren,323,35,49,11,-0.6346368715083794,23.91304347826087,18.333333333333332,0.09586895263712497
ResponseForClass,282,76,28,32,-1.0238361266294222,29.629629629629626,53.333333333333336,0.2571505097982292
WeightedMethodCount,288,70,35,25,-1.0432960893854744,26.31578947368421,41.66666666666667,0.18501775515571797
CyclomaticComplexity,289,69,30,30,-0.9265363128491615,30.303030303030305,50.0,0.25340422886026154
DepthOfNesting,294,64,35,25,-0.9265363128491615,28.08988764044944,41.66666666666667,0.20375618910187016
OutDegree,307,51,25,35,-0.47895716945996236,40.69767441860465,58.333333333333336,0.3823970850097972
OutDegreeDistinct,304,54,31,29,-0.6540968342644318,34.93975903614458,48.333333333333336,0.2922410755992691
PatternSize,294,64,35,25,-0.9265363128491615,28.08988764044944,41.66666666666667,0.20375618910187016
NumberOfPatternVariables,296,62,36,24,-0.9070763500931094,27.906976744186046,40.0,0.19673058058793366
