name,tn,fp,fn,tp,r2,precision,recall,mcc
FanOut,43,11,7,11,-0.33333333333333326,50.0,61.111111111111114,0.3829708431025352
FanIn,24,30,4,14,-1.5185185185185186,31.818181818181817,77.77777777777779,0.19738550848793068
CouplingBetweenObjects,33,21,7,11,-1.074074074074074,34.375,61.111111111111114,0.19364916731037085
DepthOfInheritance,30,24,5,13,-1.1481481481481484,35.13513513513514,72.22222222222221,0.24065547555594477
LackOfCohesionInMethods,40,14,16,2,-1.2222222222222223,12.5,11.11111111111111,-0.1543033499620919
LinesOfCode,45,9,8,10,-0.2592592592592593,52.63157894736842,55.55555555555556,0.38207087422295555
SourceLinesOfCode,45,9,8,10,-0.2592592592592593,52.63157894736842,55.55555555555556,0.38207087422295555
CommentLinesOfCode,26,28,8,10,-1.6666666666666665,26.31578947368421,55.55555555555556,0.03212462831016178
CommentDensity,26,28,2,16,-1.2222222222222223,36.36363636363637,88.88888888888889,0.3289758474798845
NumberOfChildren,48,6,17,1,-0.7037037037037037,14.285714285714285,5.555555555555555,-0.08119979429411502
ResponseForClass,45,9,6,12,-0.11111111111111116,57.14285714285714,66.66666666666666,0.4763305116224668
WeightedMethodCount,42,12,9,9,-0.5555555555555556,42.857142857142854,50.0,0.26462806201248157
CyclomaticComplexity,47,7,8,10,-0.11111111111111116,58.82352941176471,55.55555555555556,0.4342715744283826
DepthOfNesting,44,10,7,11,-0.2592592592592593,52.38095238095239,61.111111111111114,0.4057630284191384
OutDegree,44,10,8,10,-0.33333333333333326,50.0,55.55555555555556,0.3580574370197165
OutDegreeDistinct,44,10,8,10,-0.33333333333333326,50.0,55.55555555555556,0.3580574370197165
PatternSize,44,10,9,9,-0.40740740740740744,47.368421052631575,50.0,0.3092954696090593
NumberOfPatternVariables,40,14,6,12,-0.4814814814814814,46.15384615384615,66.66666666666666,0.3672793098117978
